ID,ECLO
ACCIDENT_39609,4.0
ACCIDENT_39610,3.6
ACCIDENT_39611,4.7
ACCIDENT_39612,4.4
ACCIDENT_39613,4.6
ACCIDENT_39614,4.3
ACCIDENT_39615,4.3
ACCIDENT_39616,3.6
ACCIDENT_39617,4.2
ACCIDENT_39618,4.5
ACCIDENT_39619,4.5
ACCIDENT_39620,3.4
ACCIDENT_39621,4.0
ACCIDENT_39622,3.6
ACCIDENT_39623,3.0
ACCIDENT_39624,4.3
ACCIDENT_39625,4.8
ACCIDENT_39626,4.7
ACCIDENT_39627,4.4
ACCIDENT_39628,4.6
ACCIDENT_39629,3.4
ACCIDENT_39630,3.1
ACCIDENT_39631,4.3
ACCIDENT_39632,4.5
ACCIDENT_39633,4.5
ACCIDENT_39634,4.4
ACCIDENT_39635,4.6
ACCIDENT_39636,4.7
ACCIDENT_39637,3.5
ACCIDENT_39638,4.4
ACCIDENT_39639,4.6
ACCIDENT_39640,4.3
ACCIDENT_39641,4.7
ACCIDENT_39642,3.5
ACCIDENT_39643,4.6
ACCIDENT_39644,3.0
ACCIDENT_39645,3.5
ACCIDENT_39646,4.7
ACCIDENT_39647,4.8
ACCIDENT_39648,5.2
ACCIDENT_39649,3.0
ACCIDENT_39650,4.2
ACCIDENT_39651,3.6
ACCIDENT_39652,4.4
ACCIDENT_39653,3.8
ACCIDENT_39654,3.4
ACCIDENT_39655,4.0
ACCIDENT_39656,3.7
ACCIDENT_39657,4.1
ACCIDENT_39658,4.2
ACCIDENT_39659,3.8
ACCIDENT_39660,4.4
ACCIDENT_39661,4.0
ACCIDENT_39662,4.3
ACCIDENT_39663,4.2
ACCIDENT_39664,3.9
ACCIDENT_39665,4.0
ACCIDENT_39666,3.4
ACCIDENT_39667,4.0
ACCIDENT_39668,3.4
ACCIDENT_39669,3.5
ACCIDENT_39670,4.0
ACCIDENT_39671,4.5
ACCIDENT_39672,4.2
ACCIDENT_39673,3.4
ACCIDENT_39674,4.4
ACCIDENT_39675,3.9
ACCIDENT_39676,4.5
ACCIDENT_39677,3.3
ACCIDENT_39678,3.8
ACCIDENT_39679,4.3
ACCIDENT_39680,4.3
ACCIDENT_39681,3.4
ACCIDENT_39682,4.2
ACCIDENT_39683,3.8
ACCIDENT_39684,3.3
ACCIDENT_39685,4.3
ACCIDENT_39686,4.6
ACCIDENT_39687,4.3
ACCIDENT_39688,3.2
ACCIDENT_39689,4.4
ACCIDENT_39690,4.1
ACCIDENT_39691,4.0
ACCIDENT_39692,4.2
ACCIDENT_39693,3.6
ACCIDENT_39694,4.3
ACCIDENT_39695,4.0
ACCIDENT_39696,4.7
ACCIDENT_39697,4.1
ACCIDENT_39698,4.2
ACCIDENT_39699,3.9
ACCIDENT_39700,4.1
ACCIDENT_39701,4.2
ACCIDENT_39702,4.0
ACCIDENT_39703,4.3
ACCIDENT_39704,4.1
ACCIDENT_39705,4.0
ACCIDENT_39706,3.5
ACCIDENT_39707,4.3
ACCIDENT_39708,4.2
ACCIDENT_39709,4.2
ACCIDENT_39710,3.6
ACCIDENT_39711,3.9
ACCIDENT_39712,3.9
ACCIDENT_39713,4.1
ACCIDENT_39714,4.5
ACCIDENT_39715,4.7
ACCIDENT_39716,4.3
ACCIDENT_39717,4.5
ACCIDENT_39718,4.1
ACCIDENT_39719,4.0
ACCIDENT_39720,4.1
ACCIDENT_39721,4.3
ACCIDENT_39722,4.2
ACCIDENT_39723,4.2
ACCIDENT_39724,4.2
ACCIDENT_39725,4.2
ACCIDENT_39726,4.3
ACCIDENT_39727,3.4
ACCIDENT_39728,4.1
ACCIDENT_39729,4.3
ACCIDENT_39730,4.2
ACCIDENT_39731,4.3
ACCIDENT_39732,3.9
ACCIDENT_39733,4.0
ACCIDENT_39734,3.5
ACCIDENT_39735,4.6
ACCIDENT_39736,4.1
ACCIDENT_39737,3.2
ACCIDENT_39738,4.2
ACCIDENT_39739,4.2
