정류소아이디,모바일아이디,정류소명,영문명,시도,구군,동,경도,위도,경유노선수,경유노선
1570000140,,감문리,,대구광역시,달성군,하빈면,128.424005,35.890744,1,20
7001000100,5191,대명시장앞,Daemyeong Market,대구광역시,남구,대명3동,128.57713,35.85869,7,"509, 650, 706, 805, 836, 달서4, 순환2-1"
7001000200,2164,대명시장건너,Daemyeong Market,대구광역시,중구,남산4동,128.577815,35.85864,7,"509, 650, 706, 805, 836, 달서4-1, 순환2"
7001000300,2166,계명대학교대명캠퍼스앞,Keimyung University Daemyeong Campus,대구광역시,남구,대명3동,128.5808483,35.85711167,7,"509, 650, 706, 805, 836, 달서4, 순환2-1"
7001000400,2163,계명대학교대명캠퍼스건너,Keimyung University Daemyeong Campus,대구광역시,중구,남산4동,128.5800067,35.857675,7,"509, 650, 706, 805, 836, 달서4-1, 순환2"
7001000500,2196,중부소방서건너,Jungbu Fire Station,대구광역시,중구,대신동,128.5756717,35.86312,4,"250, 323, 909, 성서2"
7001000600,2198,중부소방서앞,Jungbu Fire Station,대구광역시,중구,남산4동,128.57676,35.86305167,3,"250, 323-1, 급행6"
7001000700,2195,대신센트럴자이,Daesin Central Xi,대구광역시,중구,대신동,128.5779783,35.863695,5,"250, 323, 909, 급행6, 성서2"
7001000800,445,청라언덕(신남)역(1번출구),Cheongna Hill(Sinnam) Station,대구광역시,중구,대신동,128.5811834,35.86469188,4,"250, 323, 909, 성서2"
7001000900,2199,엘디스리젠트호텔건너,Eldis Regent Hotel,대구광역시,중구,남산2동,128.58674,35.86608167,2,"405, 609"
7001001000,643,엘디스리젠트호텔앞,Eldis Regent Hotel,대구광역시,중구,성내2동,128.5852483,35.86597667,7,"405, 609, 840, 909, 990, 991, 북구2"
7001001100,2200,현대백화점.동아쇼핑건너,Hyundai Dept. Store. DongA Shopping Center,대구광역시,중구,남산2동,128.5900933,35.86589667,5,"405, 609, 840, 990, 991"
7001001300,2202,봉산문화거리앞,Bongsan Culture Street,대구광역시,중구,성내1동,128.5971833,35.864675,3,"306, 730, 805"
7001001400,5338,2호선반월당역1,Banwoldang Station,대구광역시,중구,성내1동,128.5956177,35.86525717,5,"609, 840, 990, 991, 급행2"
7001001500,2192,봉산문화거리건너,Bongsan Culture Street,대구광역시,중구,성내1동,128.596945,35.86502,4,"306, 649, 730, 805"
7001001600,5018,반월당역(2번출구),Banwoldang Station,대구광역시,중구,남산1동,128.593245,35.86269167,13,"204, 304, 306, 349, 401, 405, 410, 503, 518, 649, 650, 706, 805"
7001001700,2218,반월당역(1번출구)1,Banwoldang Station,대구광역시,중구,남산2동,128.59316,35.86334667,8,"306, 349, 401, 405, 410-1, 503, 650, 805"
7001001800,2205,남문시장건너2,Nammun Market,대구광역시,중구,남산1동,128.5920633,35.85956167,12,"204, 304, 306, 349, 405, 410, 503, 518, 649, 650, 706, 805"
7001001900,2220,남문시장앞,Nammun Market,대구광역시,중구,남산1동,128.5921467,35.86037833,12,"204, 304, 306, 349, 405, 410-1, 503, 518, 649, 650, 706, 805"
7001002000,1015,명덕역(6번출구),Myeongdeok Station,대구광역시,중구,남산1동,128.5912017,35.85780833,12,"204, 304, 306, 349, 405, 410, 503, 518, 649, 650, 706, 805"
7001002100,1017,명덕역(7번출구),Myeongdeok Station,대구광역시,중구,남산1동,128.5910533,35.85790167,10,"306, 349, 405, 410-1, 503, 518, 649, 650, 706, 805"
7001002200,418,명덕네거리1,Myeongdeok (4) Junction,대구광역시,남구,대명2동,128.59202,35.85682167,5,"204, 304, 509, 남구1, 순환2-1"
7001002300,2162,명덕네거리2,Myeongdeok (4) Junction,대구광역시,중구,남산1동,128.5924633,35.85679167,5,"204, 304, 509, 남구1-1, 순환2"
7001002400,5112,상수도사업본부건너,Waterworks HQ,대구광역시,중구,대봉2동,128.5961583,35.85643167,5,"204, 304, 509, 남구1-1, 순환2"
7001002500,5271,상수도사업본부,Waterworks HQ,대구광역시,남구,이천동,128.5972733,35.85602,5,"204, 304, 509, 남구1, 순환2-1"
7001002600,406,명덕초등학교앞,Myeongdeok Elementary School,대구광역시,중구,남산1동,128.588175,35.85688,8,"306, 509, 518, 650, 706, 805, 남구1-1, 순환2"
7001002700,9139,명덕초등학교건너,Myeongdeok Elementary School,대구광역시,남구,대명2동,128.588122,35.85667662,8,"306, 509, 518, 650, 706, 805, 남구1, 순환2-1"
7001002800,5280,남산역(프린스호텔건너),Namsan Station,대구광역시,중구,남산3동,128.584865,35.85654167,5,"509, 650, 706, 805, 순환2"
7001002900,416,남산역건너(프린스호텔앞),Namsan Station,대구광역시,남구,대명3동,128.5839741,35.85632937,8,"306, 509, 518, 650, 706, 805, 남구1, 순환2-1"
7001003000,9140,경북공고앞,Gyeongbuk Technical High School,대구광역시,중구,남산3동,128.5828075,35.85790098,4,"300, 609, 651, 836"
7001003100,9141,경북공고건너,Gyeongbuk Technical High School,대구광역시,중구,남산4동,128.5825722,35.85867212,5,"300, 609, 651, 808, 836"
7001003200,5281,남산초등학교앞,Namsan Elementary School,대구광역시,중구,남산2동,128.5825367,35.862385,4,"300, 609, 651, 836"
7001003300,1027,남산초등학교건너,Namsan Elementary School,대구광역시,중구,남산4동,128.5823983,35.862725,5,"300, 609, 651, 808, 836"
7001003400,1020,남산2동주민센터건너,Namsan 2-dong Community Center,대구광역시,중구,남산2동,128.588535,35.86489,1,동구2
