소재지도로명주소,동가
대구광역시 동구 효목로19길 9-6,효목동
대구광역시 동구 팔공로68길 4-5,봉무동
대구광역시 동구 신암남로27길 35,신암동
대구광역시 동구 방촌로17길 26,방촌동
대구광역시 동구 동촌로45길 39,방촌동
대구광역시 동구 송라로 3-6,신천동
대구광역시 동구 과학로13길 5,각산동
대구광역시 동구 신암로18길 19,신암동
대구광역시 동구 율하서로3길 45,율하동
대구광역시 동구 금호강변로3길 14,율하동
대구광역시 동구 신암남로 175-1,신암동
대구광역시 동구 국채보상로165길 31,신천동
대구광역시 동구 팔공로53길 30,봉무동
대구광역시 동구 효목로17길 50,효목동
대구광역시 동구 용계로1길 36,용계동
대구광역시 동구 동부로 67-1,신천동
대구광역시 동구 반야월로 208-1,동호동
대구광역시 동구 안심로51길 120,동호동
대구광역시 동구 안심로 16길 19,율하동
대구광역시 동구 신암북로 11길 11,신암동
대구광역시 동구 위남로2길 38,봉무동
대구광역시 동구 파계로19길 12-7,지묘동
대구광역시 동구 메디벨리로8길 11,사복동
대구광역시 동구 메디벨리로8길 11,사복동
대구광역시 서구 옥산로6길 9,원대동
