id,distance,구군,동
349,1806.298096968895,달성군,구지면
350,1819.0318574135772,달성군,구지면
351,1815.3861718654673,달성군,구지면
352,1813.2542870904688,달성군,구지면
353,1816.5506819799825,달성군,구지면
354,1736.8008379754992,달성군,구지면
355,1643.2408350914752,달성군,구지면
356,1549.413786509652,달성군,구지면
357,1455.7392474451847,달성군,구지면
358,1362.1462656556844,달성군,구지면
359,1267.597538687494,달성군,구지면
360,1174.6784558723682,달성군,구지면
361,1087.9526459960086,달성군,구지면
362,1024.6609031841758,달성군,구지면
806,1733.765963971945,달성군,구지면
807,1745.3463330429493,달성군,구지면
808,1736.0204857332162,달성군,구지면
809,1725.5190044362823,달성군,구지면
810,1720.8035087524356,달성군,구지면
811,1721.9215368545422,달성군,구지면
812,1708.5086184396876,달성군,구지면
813,1612.2160859926057,달성군,구지면
814,1516.4365861501635,달성군,구지면
815,1421.2738455267036,달성군,구지면
816,1326.8605765053915,달성군,구지면
817,1233.3689088719636,달성군,구지면
818,1141.0254075595071,달성군,구지면
819,1050.1330127660342,달성군,구지면
820,961.0690432071713,달성군,구지면
821,868.6485690286136,달성군,구지면
822,778.8433234066849,달성군,구지면
823,704.7565742185271,달성군,구지면
1263,1670.3641682756133,달성군,구지면
1264,1673.3088095721798,달성군,구지면
1265,1654.3078985067957,달성군,구지면
1266,1637.1575074034715,달성군,구지면
1267,1626.018125784183,달성군,구지면
1268,1621.0136816517163,달성군,구지면
1269,1622.2009571235355,달성군,구지면
1270,1629.5664214647586,달성군,구지면
1271,1586.5098376053325,달성군,구지면
1272,1489.0783299743498,달성군,구지면
1273,1392.0471576871819,달성군,구지면
1274,1295.5062806251015,달성군,구지면
1275,1199.5740842497464,달성군,구지면
1276,1104.4091993742563,달성군,구지면
1277,1010.2284990862385,달성군,구지면
1278,917.3351703512993,달성군,구지면
1279,826.1635866494867,달성군,구지면
1280,737.352697726305,달성군,구지면
1281,651.9276258498464,달성군,구지면
1282,567.2396163157059,달성군,구지면
1283,483.06757640770905,달성군,구지면
1284,415.04074653059695,달성군,구지면
1720,1615.7232209053075,달성군,구지면
1721,1609.6527832299787,달성군,구지면
1722,1581.050925622517,달성군,구지면
1723,1556.6545870466507,달성군,구지면
1724,1538.4164341156286,달성군,구지면
1725,1526.5572058193068,달성군,구지면
1726,1521.2260995786812,달성군,구지면
1727,1522.4916958826511,달성군,구지면
1728,1530.3376312566488,달성군,구지면
1729,1544.6636397480422,달성군,구지면
1730,1468.0093396465365,달성군,구지면
1731,1369.486777231993,달성군,구지면
1732,1271.2343837321698,달성군,구지면
1733,1173.3200358194238,달성군,구지면
1734,1075.8360406113927,달성군,구지면
1735,978.9109800684126,달성군,구지면
1736,882.7289942959949,달성군,구지면
1737,787.562382763416,달성군,구지면
1738,693.8290885164106,달성군,구지면
1739,602.1987864459983,달성군,구지면
1740,513.7978578937398,달성군,구지면
1741,430.61977921801275,달성군,구지면
1742,356.3224474111587,달성군,구지면
1743,290.20495372534083,달성군,구지면
1744,239.13776369003656,달성군,구지면
1745,222.26727174664072,달성군,구지면
2177,1546.3441465540727,달성군,구지면
2178,1549.5627415786785,달성군,구지면
2179,1517.474647244656,달성군,구지면
2180,1485.2885887099135,달성군,구지면
2181,1459.2927098407715,달성군,구지면
2182,1439.8223424377527,달성군,구지면
2183,1427.1445950565385,달성군,구지면
2184,1421.4412313791984,달성군,구지면
2185,1422.7961287751914,달성군,구지면
2186,1431.1892445180054,달성군,구지면
2187,1446.4980718932688,달성군,구지면
2188,1453.503131744824,달성군,구지면
2189,1353.925981747255,달성군,구지면
2190,1254.4560510066808,달성군,구지면
2191,1155.1210424106312,달성군,구지면
2192,1055.959037669736,달성군,구지면
2193,957.0238203930746,달성군,구지면
2194,858.3938154309947,달성군,구지면
2195,760.187836653735,달성군,구지면
2196,662.5944579627285,달성군,구지면
2197,565.9307003554441,달성군,구지면
2198,470.76956325838705,달성군,구지면
2199,378.24687312722455,달성군,구지면
2200,290.89123856264735,달성군,구지면
2201,215.09309070213934,달성군,구지면
2202,167.36989294581085,달성군,구지면
2203,171.5928551305839,달성군,구지면
2204,212.65368627176184,달성군,구지면
2205,272.1764396935929,달성군,구지면
2635,1491.2989444857212,달성군,구지면
2636,1464.8400625864729,달성군,구지면
2637,1424.4334762454544,달성군,구지면
2638,1390.0953813109504,달성군,구지면
2639,1362.2847502093075,달성군,구지면
2640,1341.4076382145229,달성군,구지면
2641,1327.791140133048,달성군,구지면
2642,1321.6596874991335,달성군,구지면
2643,1323.1173470759834,달성군,구지면
2644,1332.139209922185,달성군,구지면
2645,1348.5734759524216,달성군,구지면
2646,1372.1538395742953,달성군,구지면
2647,1345.6076214899292,달성군,구지면
2648,1245.4741620740763,달성군,구지면
2649,1145.3611311640059,달성군,구지면
2650,1045.2744028333423,달성군,구지면
2651,945.2223372062764,달성군,구지면
2652,845.2172492589714,달성군,구지면
2653,745.2780563913378,달성군,구지면
2654,645.4353759173431,달성군,구지면
2655,545.7421890724086,달성군,구지면
2656,446.2986978862822,달성군,구지면
2657,347.319458049424,달성군,구지면
2658,249.35793670224052,달성군,구지면
2659,154.36405266292888,달성군,구지면
2660,74.68236380094761,달성군,구지면
2661,86.17989192191347,달성군,구지면
2662,171.39668821049432,달성군,구지면
2663,267.1945136949245,달성군,구지면
2664,357.6572581988667,달성군,구지면
2665,435.0140148889097,달성군,구지면
3093,1416.4994134670967,달성군,구지면
3094,1375.4850315063964,달성군,구지면
3095,1332.371927138612,달성군,구지면
3096,1295.5967544996436,달성군,구지면
3097,1265.7120822202196,달성군,구지면
3098,1243.214919350092,달성군,구지면
3099,1228.511188875731,달성군,구지면
3100,1221.882277714411,달성군,구지면
3101,1223.4594488448824,달성군,구지면
3102,1233.2112217136037,달성군,구지면
3103,1250.9464388298543,달성군,구지면
3104,1276.3323463750196,달성군,구지면
3105,1308.9238798183233,달성군,구지면
3106,1244.4575366403892,달성군,구지면
3107,1144.2562604558414,달성군,구지면
3108,1044.0643844514473,달성군,구지면
3109,943.8849068702544,달성군,구지면
3110,843.7222494713227,달성군,구지면
3111,743.5832155408051,달성군,구지면
3112,643.4788411541543,달성군,구지면
3113,543.4282887774384,달성군,구지면
3114,443.4679983603344,달성군,구지면
3115,343.67675167945066,달성군,구지면
3116,244.2618396703657,달성군,구지면
3117,145.99412535665297,달성군,구지면
3118,55.36274609281148,달성군,구지면
3119,70.11492292824065,달성군,구지면
3120,163.91308664760567,달성군,구지면
3121,262.52473288359147,달성군,구지면
3122,362.03772962141517,달성군,구지면
3123,460.92544703624446,달성군,구지면
3124,553.0414243698914,달성군,구지면
3125,558.3344592771393,달성군,구지면
3551,1331.3577906005053,달성군,구지면
3552,1287.6663082006467,달성군,구지면
3553,1241.5079402314204,달성군,구지면
3554,1201.9565399298058,달성군,구지면
3555,1169.682523155202,달성군,구지면
3556,1145.3012782723124,달성군,구지면
3557,1129.3241217807072,달성군,구지면
3558,1122.1100998152615,달성군,구지면
3559,1123.8279847308145,달성군,구지면
3560,1134.4372043234816,달성군,구지면
3561,1153.6924976099076,달성군,구지면
3562,1181.1711026648943,달성군,구지면
3563,1216.315815809086,달성군,구지면
3564,1251.4255826350673,달성군,구지면
3565,1151.8313321405676,달성군,구지면
3566,1052.3616597299892,달성군,구지면
3567,953.0555773043047,달성군,구지면
3568,853.9701624930299,달성군,구지면
3569,755.1922847325412,달성군,구지면
3570,656.8607066578599,달성군,구지면
3571,559.2109177865904,달성군,구지면
3572,462.6748143506524,달성군,구지면
3573,368.1295923812699,달성군,구지면
3574,277.6168195154952,달성군,구지면
3575,196.7818537361756,달성군,구지면
3576,143.0922928762112,달성군,구지면
3577,149.4256553926827,달성군,구지면
3578,210.43044844688552,달성군,구지면
3579,293.8269129373709,달성군,구지면
3580,385.3412499752373,달성군,구지면
3581,480.35596715674336,달성군,구지면
3582,531.2140124338005,달성군,구지면
3583,487.5027629110353,달성군,구지면
3584,443.1091996889526,달성군,구지면
4009,1243.8596323142224,달성군,구지면
4010,1201.7207436726574,달성군,구지면
4011,1152.1248878573833,달성군,구지면
4012,1109.392121220055,달성군,구지면
4013,1074.341714271748,달성군,구지면
4014,1047.7449534502575,달성군,구지면
4015,1030.2567607318692,달성군,구지면
4016,1022.3446800179775,달성군,구지면
4017,1024.230663320569,달성군,구지면
4018,1035.8611986601707,달성군,구지면
4019,1056.9146452650764,달성군,구지면
4020,1086.8435463501314,달성군,구지면
4021,1124.9397372754204,달성군,구지면
4022,1170.4059685548946,달성군,구지면
4023,1167.917460150027,달성군,구지면
4024,1069.945062984607,달성군,구지면
4025,972.437094835429,달성군,구지면
4026,875.548741989751,달성군,구지면
4027,779.5110874242766,달성군,구지면
4028,684.6822035917359,달성군,구지면
4029,591.6436107517876,달성군,구지면
4030,501.3929308905497,달성군,구지면
4031,415.74975163420953,달성군,구지면
4032,338.2323546001706,달성군,구지면
4033,275.78014674875936,달성군,구지면
4034,240.43409899892794,달성군,구지면
4035,244.25956400145114,달성군,구지면
4036,285.68730166198316,달성군,구지면
4037,351.6703913879432,달성군,구지면
4038,431.0768298131862,달성군,구지면
4039,508.21168896496937,달성군,구지면
4040,445.4426220331484,달성군,구지면
4041,398.3207964792626,달성군,구지면
4042,372.50459422555673,달성군,구지면
4043,353.9567237863251,달성군,구지면
4044,347.21120145761,달성군,구지면
4467,1163.5215452722182,달성군,구지면
4468,1118.0803790680884,달성군,구지면
