소재지도로명주소,동가,위도,경도
대구광역시 달서구 상화북로 196-6,,35.81298632,128.5470576
대구광역시 달서구 명덕로2길 57 (두류동),,35.85950078,128.5709285
대구광역시 달서구 선원로 60,,35.8589686453,128.4988307271
대구광역시 달서구 상화로 406 (상인동),,35.80789636,128.5582315
대구광역시 달서구 새방로 43,,35.86294972,128.5222112
대구광역시 달서구 상인로 68-4 (상인동),,35.81277938,128.5489485
대구광역시 달서구 새방로 62,,35.8634169257,128.5243105871
대구광역시 달서구 선원로 133,,35.8615626498,128.5058539351
대구광역시 달서구 선원로 133,,35.8615626498,128.5058539351
대구광역시 달서구 성서공단북로 250,,35.84443066,128.5003147
대구광역시 달서구 감삼남1길 58,,35.84922212,128.5406644
대구광역시 달서구 달구벌대로332길 78,,35.8508726,128.546322
대구광역시 달서구 달구벌대로323길 39,,35.85407605,128.541528
대구광역시 달서구 달구벌대로 1606,,35.85175585,128.5423646
대구광역시 달서구 당산로30길 20,,35.84784865,128.5471456
대구광역시 달서구 월곡로47길 67,,35.81385024,128.537392
대구광역시 달서구 월곡로47길 67,,35.81385024,128.537392
대구광역시 달서구 학산로47길 14,,35.8345967,128.5517667
대구광역시 달서구 와룡로51길 36,,35.8559040076,128.534855517
대구광역시 달서구 와룡로51길 41,,35.8552537534,128.534966959
대구광역시 달서구 와룡로51길 41,,35.8552537534,128.534966959
대구광역시 달서구 대명천로11길 30,,35.8376755,128.5547127114
대구광역시 달서구 구마로 131,,35.8376307511,128.5420068251
대구광역시 달서구 와룡로45길 46,,35.8532290974,128.5345958487
대구광역시 달서구 달구벌대로307길 77,,35.853535203,128.5343360868
대구광역시 달서구 성서서로 26,,35.8273076617,128.5003906452
대구광역시 달서구 성서공단로21길 26,,35.8376510797,128.4947597037
대구광역시 달서구 성서공단로21길 57,,35.8401802111,128.4939970227
대구광역시 달서구 장기로 116,,35.8436079415,128.5483957952
대구광역시 달서구 성당로 137,,35.8473943107,128.5669048649
대구광역시 달서구 성당로 187,,35.84972658,128.5698397
대구광역시 달서구 야외음악당로15길 46,,35.84443849,128.5499641
대구광역시 달서구 장산남로 40,,35.85288209,128.5262857
대구광역시 달서구 장산남로 30,,35.85306572,128.5275712
대구광역시 달서구 죽전1길 82,,35.85262612,128.5392595
대구광역시 달서구 죽전1길 82,,35.85262612,128.5392595
대구광역시 달서구 와룡로13길 77,,35.83782984,128.532418
대구광역시 달서구 대명천로12안길 48,,35.83961482,128.5561628
대구광역시 달서구 야외음악당로 42,,35.84137518,128.5536181
대구광역시 달서구 대명천로 101,,35.83903418,128.5471926
대구광역시 달서구 야외음악당로39길 54,,35.85414356,128.5543603
대구광역시 달서구 상화북로 195,,35.8140344409,128.5465290399
대구광역시 달서구 상인로 34,,35.81135675,128.5501236
대구광역시 달서구 상인서로 3,,35.8113905,128.5471573
대구광역시 달서구 상화북로 80,,35.8114998,128.5349196
대구광역시 달서구 서당로 27,,35.8542710987,128.4954170371
대구광역시 달서구 장기로 115,,35.84314371,128.5473095
대구광역시 달서구 당산로30길 12,,35.84907351,128.5475164
대구광역시 달서구 성서공단남로23길 7,,35.8310372459,128.5042366442
대구광역시 달서구 성서동로 17,,35.825008174,128.5090048711
대구광역시 달서구 성서공단북로 213,,35.844843329,128.4964176459
대구광역시 달서구 대명천로 67,,35.8385029971,128.5518114848
대구광역시 달서구 송현로12길 29,,35.8244058107,128.5470223766
대구광역시 달서구 월배로69길 39,,35.8273986016,128.5458278449
대구광역시 달서구 송현로2길 27,,35.8217471091,128.5513789935
대구광역시 달서구 서당로 14,,35.85329967,128.4962887
대구광역시 달서구 송현로8안길 35,,35.82190208,128.5506493
대구광역시 달서구 중흥로 67,,35.8286493474,128.5592239683
대구광역시 달서구 선원남로 5,,35.85778812,128.5007081
대구광역시 달서구 와룡로49길 55,,35.854265813,128.534142063
대구광역시 달서구 와룡로51길 56-2,,35.8557106246,128.5341920435
대구광역시 달서구 월배로80길 96-3,,35.8270318711,128.555252995
대구광역시 달서구 용산서로 37,,35.85631474,128.5266074
대구광역시 달서구 와룡로45길 72,,35.854166,128.5323602
대구광역시 달서구 장기로26길 30,,35.84428745,128.5475166
대구광역시 달서구 월곡로 5,,35.7988027,128.5482878
대구광역시 달서구 상원로 32,,35.81283463,128.5367433
대구광역시 달서구 월배로65길 39,,35.82517614,128.5442418
대구광역시 달서구 월배로72길 52,,35.8251441339,128.5504271085
대구광역시 달서구 월배로72길 58,,35.8249892378,128.5506985136
대구광역시 달서구 송현로8길 59,,35.8243294011,128.5501545481
대구광역시 달서구 월배로74서길 42,,35.8250029375,128.5496365156
대구광역시 달서구 구마로40길 21,,35.83523443,128.5502879
대구광역시 달서구 죽전길 72,,35.85496422,128.5405181
대구광역시 달서구 당산로41길 114,,35.8530612824,128.5420709495
대구광역시 달서구 와룡로54길 28,,35.8557902191,128.5398036293
대구광역시 달서구 죽전길 127,,35.8577855994,128.5399263555
대구광역시 달서구 중흥로16길 33,,35.82732114,128.5580026
대구광역시 달서구 송현동길 16,,35.830433803,128.5500165591
대구광역시 달서구 송현동3길 2,,35.8308147616,128.5498247803
대구광역시 달서구 학산로 54,,35.82932079,128.5345525
대구광역시 달서구 상화북로 137,,35.81121157,128.5409041
대구광역시 달서구 월곡로 113,,35.80723777,128.5486004
대구광역시 동구 큰고개로 17 (신암동) 일대,,35.8862218005,128.625566
대구광역시 동구 신암남로 76-3 (신암동) 일대,,35.879356,128.624347
대구광역시 동구 아양로8길 6 (신암동) 일대,,35.881502571,128.6186897167
대구광역시 동구 송라로 58 (신천동) 일대,,35.872536645,128.6190608684
대구광역시 동구 장등로 77 (신천동) 일대(신천3동주민센터 근처),,35.874246,128.6235068909
대구광역시 동구 동대구로 423 (신천동) 일대,,35.868188,128.625967
"대구광역시 동구 장등로 25 (신천동, 예성아파트) 일대",,35.8698177346,128.6231462339
대구광역시 동구 동부로22길 2 (신천동) 부근,,35.8761925494,128.6267308392
대구광역시 동구 화랑로25길 7 (효목동) 일대,,35.874769,128.6402141217
대구광역시 동구 동대구로 576 (신암동) ~ 덕성초등학교,,35.8813948076,128.626398746
대구광역시 북구 경대로서19길 31,,35.8906191,128.6162747567
대구광역시 북구 노원동2가 1,,35.891417,128.571789
대구광역시 북구 노원동2가 1,,35.890897,128.573788
