소재지도로명주소,동가
대구광역시 달서구 상화북로 196-6,상인동
대구광역시 달서구 명덕로2길 57 (두류동),두류동
대구광역시 달서구 선원로 60,신당동
대구광역시 달서구 상화로 406 (상인동),상인동
대구광역시 달서구 새방로 43,용산동
대구광역시 달서구 상인로 68-4 (상인동),상인동
대구광역시 달서구 새방로 62,용산동
대구광역시 달서구 선원로 133,이곡동
대구광역시 달서구 선원로 133,이곡동
대구광역시 달서구 성서공단북로 250,길산동
대구광역시 달서구 감삼남1길 58,감삼동
대구광역시 달서구 달구벌대로332길 78,감삼동
대구광역시 달서구 달구벌대로323길 39,감삼동
대구광역시 달서구 달구벌대로 1606,감삼동
대구광역시 달서구 당산로30길 20,성당동
대구광역시 달서구 월곡로47길 67,상인동
대구광역시 달서구 월곡로47길 67,상인동
대구광역시 달서구 학산로47길 14,송현동
대구광역시 달서구 와룡로51길 36,죽전동
대구광역시 달서구 와룡로51길 41,죽전동
대구광역시 달서구 와룡로51길 41,죽전동
대구광역시 달서구 대명천로11길 30,성당동
대구광역시 달서구 구마로 131,성당동
대구광역시 달서구 와룡로45길 46,죽전동
대구광역시 달서구 달구벌대로307길 77,죽전동
대구광역시 달서구 성서서로 26,대천동
대구광역시 달서구 성서공단로21길 26,갈산동
대구광역시 달서구 성서공단로21길 57,갈산동
대구광역시 달서구 장기로 116,성당동
대구광역시 달서구 성당로 137,성당동
대구광역시 달서구 성당로 187,성당동
대구광역시 달서구 야외음악당로15길 46,성당동
대구광역시 달서구 장산남로 40,용산동
대구광역시 달서구 장산남로 30,용산동
대구광역시 달서구 죽전1길 82,죽전동
대구광역시 달서구 죽전1길 82,죽전동
대구광역시 달서구 와룡로13길 77,본리동
대구광역시 달서구 대명천로12안길 48,성당동
대구광역시 달서구 야외음악당로 42,성당동
대구광역시 달서구 대명천로 101,본리동
대구광역시 달서구 야외음악당로39길 54,두류동
대구광역시 달서구 상화북로 195,상인동
대구광역시 달서구 상인로 34,상인동
대구광역시 달서구 상인서로 3,상인동
대구광역시 달서구 상화북로 80,상인동
대구광역시 달서구 서당로 27,신당동
대구광역시 달서구 장기로 115,성당동
대구광역시 달서구 당산로30길 12,성당동
대구광역시 달서구 성서공단남로23길 7,월암동
대구광역시 달서구 성서동로 17,월암동
대구광역시 달서구 성서공단북로 213,신당동
대구광역시 달서구 대명천로 67,성당동
대구광역시 달서구 송현로12길 29,송현동
대구광역시 달서구 월배로69길 39,송현동
대구광역시 달서구 송현로2길 27,송현동
대구광역시 달서구 서당로 14,신당동
대구광역시 달서구 송현로8안길 35,송현동
대구광역시 달서구 중흥로 67,송현동
대구광역시 달서구 선원남로 5,이곡동
대구광역시 달서구 와룡로49길 55,죽전동
대구광역시 달서구 와룡로51길 56-2,죽전동
대구광역시 달서구 월배로80길 96-3,송현동
대구광역시 달서구 용산서로 37,용산동
대구광역시 달서구 와룡로45길 72,용산동
대구광역시 달서구 장기로26길 30,성당동
대구광역시 달서구 월곡로 5,도원동
대구광역시 달서구 상원로 32,상인동
대구광역시 달서구 월배로65길 39,송현동
대구광역시 달서구 월배로72길 52,송현동
대구광역시 달서구 월배로72길 58,송현동
대구광역시 달서구 송현로8길 59,송현동
대구광역시 달서구 월배로74서길 42,송현동
대구광역시 달서구 구마로40길 21,송현동
대구광역시 달서구 죽전길 72,준전동
대구광역시 달서구 당산로41길 114,감산동
대구광역시 달서구 와룡로54길 28,감삼동
대구광역시 달서구 죽전길 127,준전동
대구광역시 달서구 중흥로16길 33,송현동
대구광역시 달서구 송현동길 16,송현동
대구광역시 달서구 송현동3길 2,송현동
대구광역시 달서구 학산로 54,월성동
대구광역시 달서구 상화북로 137,상인동
대구광역시 달서구 월곡로 113,도원동
대구광역시 동구 큰고개로 17 (신암동) 일대,신암동
대구광역시 동구 신암남로 76-3 (신암동) 일대,신암동
대구광역시 동구 아양로8길 6 (신암동) 일대,신암동
대구광역시 동구 송라로 58 (신천동) 일대,신천동
대구광역시 동구 장등로 77 (신천동) 일대(신천3동주민센터 근처),신천동
대구광역시 동구 동대구로 423 (신천동) 일대,신천동
"대구광역시 동구 장등로 25 (신천동, 예성아파트) 일대",신천동
대구광역시 동구 동부로22길 2 (신천동) 부근,신천동
대구광역시 동구 화랑로25길 7 (효목동) 일대,효목동
대구광역시 동구 동대구로 576 (신암동) ~ 덕성초등학교,신암동
대구광역시 북구 경대로서19길 31,복현동
대구광역시 북구 노원동2가 1,노원동
대구광역시 북구 노원동2가 1,노원동
