year,month,day,hour,요일,구,동가,기상상태,노면상태,도로형태,사고유형,ECLO,ECLO_group,cctv_count,light_count,parking_count,child_protect_count
2019,1,1,0,화요일,중구,대신동,맑음,건조,단일로 - 기타,차대사람,5,Soft,5.0,391.0,11.0,2.0
2019,1,1,0,화요일,달서구,감삼동,흐림,건조,단일로 - 기타,차대사람,3,Soft,12.0,941.0,9.0,0.0
2019,1,1,1,화요일,수성구,두산동,맑음,건조,단일로 - 기타,차대사람,3,Soft,4.0,473.0,0.0,5.0
2019,1,1,2,화요일,북구,복현동,맑음,건조,단일로 - 기타,차대차,5,Soft,10.0,534.0,15.0,11.0
2019,1,1,4,화요일,동구,신암동,맑음,건조,단일로 - 기타,차대차,3,Soft,12.0,2001.0,5.0,15.0
2019,1,1,4,화요일,달서구,감삼동,맑음,건조,단일로 - 기타,차대차,6,Soft,12.0,941.0,9.0,0.0
2019,1,1,5,화요일,수성구,지산동,맑음,건조,교차로 - 교차로안,차대차,18,Hard,7.0,0.0,2.0,10.0
2019,1,1,6,화요일,달서구,상인동,흐림,건조,단일로 - 기타,차대차,3,Soft,30.0,844.0,16.0,0.0
2019,1,1,6,화요일,북구,태전동,맑음,건조,기타 - 기타,차대차,5,Soft,9.0,306.0,15.0,13.0
2019,1,1,10,화요일,동구,지묘동,맑음,건조,단일로 - 터널,차대차,9,Soft,5.0,165.0,0.0,4.0
2019,1,1,11,화요일,서구,평리동,맑음,건조,단일로 - 기타,차대차,5,Soft,12.0,0.0,21.0,18.0
2019,1,1,14,화요일,동구,신기동,맑음,건조,교차로 - 교차로안,차대차,3,Soft,1.0,234.0,2.0,0.0
2019,1,1,14,화요일,서구,상리동,맑음,건조,단일로 - 지하차도(도로)내,차대차,5,Soft,1.0,0.0,4.0,0.0
2019,1,1,18,화요일,달서구,월성동,맑음,건조,단일로 - 기타,차대차,5,Soft,22.0,167.0,2.0,0.0
2019,1,1,19,화요일,수성구,황금동,맑음,건조,단일로 - 교량,차량단독,8,Soft,9.0,0.0,4.0,5.0
2019,1,1,19,화요일,북구,구암동,맑음,건조,교차로 - 교차로횡단보도내,차대사람,3,Soft,11.0,273.0,7.0,10.0
2019,1,1,20,화요일,동구,신천동,맑음,건조,기타 - 기타,차대차,3,Soft,11.0,989.0,12.0,6.0
2019,1,1,20,화요일,수성구,만촌동,맑음,건조,단일로 - 기타,차대차,3,Soft,15.0,0.0,3.0,18.0
2019,1,1,22,화요일,중구,남산동,맑음,건조,교차로 - 교차로안,차대차,5,Soft,13.0,1474.0,12.0,9.0
2019,1,2,1,수요일,서구,비산동,맑음,건조,단일로 - 기타,차대차,5,Soft,14.0,0.0,49.0,19.0
2019,1,2,2,수요일,북구,침산동,맑음,건조,단일로 - 기타,차대차,15,Hard,16.0,732.0,25.0,7.0
2019,1,2,7,수요일,달서구,두류동,맑음,건조,단일로 - 기타,차대사람,3,Soft,12.0,1292.0,8.0,0.0
2019,1,2,8,수요일,서구,평리동,맑음,건조,단일로 - 기타,차대차,3,Soft,12.0,0.0,21.0,18.0
2019,1,2,10,수요일,수성구,신매동,맑음,건조,단일로 - 기타,차대차,3,Soft,11.0,0.0,3.0,7.0
2019,1,2,10,수요일,달서구,대곡동,맑음,건조,단일로 - 기타,차대차,3,Soft,13.0,141.0,0.0,0.0
2019,1,2,10,수요일,달성군,유가읍,맑음,건조,주차장 - 주차장,차대사람,3,Soft,16.0,454.0,2.0,12.0
2019,1,2,11,수요일,달성군,논공읍,맑음,건조,단일로 - 기타,차대사람,3,Soft,18.0,1153.0,29.0,22.0
2019,1,2,13,수요일,동구,율하동,맑음,건조,교차로 - 교차로안,차대차,2,Soft,8.0,406.0,4.0,12.0
2019,1,2,13,수요일,수성구,만촌동,맑음,건조,교차로 - 교차로부근,차대차,3,Soft,15.0,0.0,3.0,18.0
2019,1,2,13,수요일,수성구,시지동,맑음,건조,교차로 - 교차로안,차대차,5,Soft,4.0,0.0,0.0,5.0
2019,1,2,14,수요일,동구,봉무동,맑음,건조,기타 - 기타,차대차,1,Soft,3.0,134.0,0.0,5.0
2019,1,2,14,수요일,동구,율하동,맑음,건조,단일로 - 기타,차대차,6,Soft,8.0,406.0,4.0,12.0
2019,1,2,14,수요일,달서구,상인동,맑음,건조,교차로 - 교차로안,차대차,3,Soft,30.0,844.0,16.0,0.0
2019,1,2,14,수요일,달성군,다사읍,맑음,건조,교차로 - 교차로횡단보도내,차대사람,5,Soft,52.0,876.0,2.0,60.0
2019,1,2,14,수요일,중구,동산동,맑음,건조,단일로 - 기타,차대차,6,Soft,4.0,134.0,4.0,1.0
2019,1,2,14,수요일,달서구,두류동,맑음,건조,교차로 - 교차로안,차대차,3,Soft,12.0,1292.0,8.0,0.0
2019,1,2,15,수요일,달서구,대곡동,맑음,건조,단일로 - 기타,차대차,3,Soft,13.0,141.0,0.0,0.0
2019,1,2,15,수요일,서구,평리동,맑음,건조,교차로 - 교차로부근,차대차,7,Soft,12.0,0.0,21.0,18.0
2019,1,2,15,수요일,서구,이현동,맑음,건조,단일로 - 기타,차대차,1,Soft,3.0,0.0,1.0,2.0
2019,1,2,16,수요일,달서구,두류동,맑음,건조,교차로 - 교차로부근,차대사람,3,Soft,12.0,1292.0,8.0,0.0
2019,1,2,17,수요일,남구,이천동,맑음,건조,교차로 - 교차로안,차대차,6,Soft,8.0,551.0,4.0,6.0
2019,1,2,17,수요일,달성군,유가읍,맑음,건조,교차로 - 교차로부근,차대차,1,Soft,16.0,454.0,2.0,12.0
2019,1,2,18,수요일,수성구,수성동4가,맑음,건조,단일로 - 기타,차대차,3,Soft,1.0,0.0,1.0,4.0
2019,1,2,18,수요일,북구,노원동3가,맑음,건조,단일로 - 기타,차대차,6,Soft,2.0,671.0,29.0,0.0
2019,1,2,18,수요일,서구,비산동,맑음,건조,단일로 - 기타,차대차,6,Soft,14.0,0.0,49.0,19.0
2019,1,2,18,수요일,북구,서변동,맑음,건조,단일로 - 기타,차대차,6,Soft,9.0,237.0,3.0,5.0
2019,1,2,18,수요일,북구,관음동,맑음,건조,단일로 - 기타,차대차,3,Soft,2.0,217.0,15.0,5.0
2019,1,2,18,수요일,북구,학정동,맑음,건조,교차로 - 교차로부근,차대차,5,Soft,1.0,121.0,0.0,7.0
2019,1,2,19,수요일,수성구,파동,맑음,건조,단일로 - 기타,차대차,4,Soft,10.0,769.0,0.0,5.0
2019,1,2,19,수요일,달성군,논공읍,맑음,건조,단일로 - 기타,차대차,1,Soft,18.0,1153.0,29.0,22.0
2019,1,2,19,수요일,달서구,감삼동,맑음,건조,단일로 - 기타,차대차,12,Hard,12.0,941.0,9.0,0.0
2019,1,2,20,수요일,수성구,상동,맑음,건조,단일로 - 기타,차대차,3,Soft,4.0,700.0,0.0,5.0
2019,1,2,22,수요일,달서구,이곡동,맑음,건조,교차로 - 교차로안,차대차,5,Soft,23.0,405.0,5.0,0.0
2019,1,2,23,수요일,북구,서변동,맑음,건조,교차로 - 교차로부근,차량단독,3,Soft,9.0,237.0,3.0,5.0
2019,1,3,0,목요일,동구,효목동,맑음,건조,단일로 - 기타,차대차,3,Soft,4.0,1114.0,1.0,8.0
2019,1,3,2,목요일,북구,읍내동,맑음,건조,교차로 - 교차로안,차대차,3,Soft,7.0,369.0,15.0,13.0
2019,1,3,3,목요일,중구,남성로,맑음,건조,교차로 - 교차로안,차대차,4,Soft,0.0,23.0,2.0,0.0
2019,1,3,5,목요일,북구,노원동3가,맑음,건조,교차로 - 교차로안,차대차,6,Soft,2.0,671.0,29.0,0.0
2019,1,3,7,목요일,달서구,죽전동,맑음,건조,기타 - 기타,차대차,3,Soft,2.0,399.0,13.0,0.0
2019,1,3,8,목요일,수성구,만촌동,맑음,건조,단일로 - 기타,차대차,3,Soft,15.0,0.0,3.0,18.0
2019,1,3,8,목요일,북구,복현동,맑음,건조,단일로 - 기타,차대차,1,Soft,10.0,534.0,15.0,11.0
2019,1,3,10,목요일,달서구,월성동,맑음,건조,교차로 - 교차로횡단보도내,차대사람,3,Soft,22.0,167.0,2.0,0.0
2019,1,3,11,목요일,남구,대명동,맑음,건조,기타 - 기타,차대차,3,Soft,62.0,5253.0,21.0,26.0
2019,1,3,11,목요일,북구,동천동,맑음,건조,교차로 - 교차로안,차대차,5,Soft,3.0,70.0,7.0,7.0
2019,1,3,12,목요일,동구,지저동,맑음,건조,교차로 - 교차로부근,차대사람,1,Soft,1.0,407.0,3.0,0.0
2019,1,3,12,목요일,동구,신암동,맑음,건조,교차로 - 교차로안,차대차,3,Soft,12.0,2001.0,5.0,15.0
