소속지회,경로당명,우편번호,주소,비고
달성군지회,대4리,43008,대구광역시 달성군 현풍읍 국가산단대로70길 41 (국가산단 서한이다음 아파트),
수성구지회,만촌3차화성파크드림,42070,"대구광역시 수성구 교학로 13 (만촌동, 만촌3차 화성파크드림)",
수성구지회,황금힐스테이트,42179,"대구광역시 수성구 청수로 274 (황금동, 힐스테이트 황금동)",
수성구지회,롯데캐슬더퍼스트2단지,42127,"대구광역시 수성구 수성로69길 65 (수성동1가, 수성롯데캐슬더퍼스트2단지)",
수성구지회,황금태왕아너스,42108,"대구광역시 수성구 청호로 345 (황금동, 태왕아너스아파트)",
수성구지회,거성경로당,42221,대구광역시 수성구 용학로48길 25-1 거성경로당 (지산동),
남구지회,화성파크드림,42443,"대구광역시 남구 대봉로14길 30 화성파크드림경로당 (봉덕동, 봉덕화성파크드림)",
중구지회,남산역 화성파크드림,41977,"대구광역시 중구 남산로7길 7 (남산동, 남산역 화성파크드림)",
수성구지회,수성2차우방타운,42084,"대구광역시 수성구 청호로 330 수성2차우방타운 (황금동, 수성지구2차우방타운)",
달성군지회,교항7리,42969,대구광역시 달성군 옥포읍 금계길 12 (대구옥포르상트레빌),
수성구지회,아이프라임신매,42271,"대구광역시 수성구 달구벌대로649길 14 경로당 (신매동, 아이프라임신매아파트)",
달성군지회,죽곡13리,42915,대구광역시 달성군 다사읍 달구벌대로174길 50 대구광역시 달성군 다사읍 달구벌대로174길 50 (협성휴포레·죽곡),
달성군지회,가태2리,42992,대구광역시 달성군 유가읍 구례길 113 노인회관,
달성군지회,금포5리,42974,대구광역시 달성군 논공읍 금포로 75-20 (우신미가뷰 아파트),
달성군지회,쌍계4리,43016,대구광역시 달성군 유가읍 테크노순환로 423 대구광역시 달성군 유가읍 테크노순환로 423 (대구테크노폴리스중흥에스-클래스포디움),
동구지회,대구혁신제일,41064,"대구광역시 동구 이노밸리로29길 34 (각산동, 대구혁신도시 서한이다음 2차 아파트)",
동구지회,이안동대구,41213,"대구광역시 동구 송라로28길 14 (신암동, 이안동대구)",개설일자:2018.11.30 운영상태:2018.11.30
북구지회,연경천년나무1단지,41411,"대구광역시 북구 동화천로 280 (연경동, 대구연경엘에이치천년나무1단지)",
수성구지회,삼덕경로당,42250,대구광역시 수성구 범안로64길 18-11 (삼덕동),
북구지회,침산화성파크드림,41560,"대구광역시 북구 성북로 70 침산화성파크드림 경로당 (침산동, 침산화성파크드림)",
