feature,mean_importance
군_남구_diff_weekday,-0.000508841073078159
보호구역,-0.00040702360840851883
어린이보호구역개수,-0.0003892618293707351
season,-0.00033552116686241806
weekday,-0.00023614621420602332
weekday_sum_군_동구,-0.00011435439364613221
weekday_diff_holiday,-8.597359898441237e-05
holiday,-7.302212056723434e-05
holiday_multiply_weekday,-2.9428429742783812e-05
설치개수,-1.4949774532357906e-05
군_동구,-6.708804713118077e-06
군_수성구,-2.9642329963719404e-06
weekday_sum_군_수성구,-9.674154848093862e-07
weekday_ratio_holiday,0.0
군_달서구,3.3722993838880556e-05
군_북구,3.5416368287854993e-05
군_중구,5.38935293374232e-05
요일,7.426765185098993e-05
군_남구,8.046973623465625e-05
기상상태,8.64521290588005e-05
차량전용,9.427795257661575e-05
군_달성군_diff_holiday,0.0001092496329013537
불법주정차,0.00026884538106763944
불법주정차_diff_weekday,0.0003179067256440904
평지도로,0.00032737100634108176
군_중구_diff_holiday,0.0004389267873423419
군_서구,0.0005003764339111871
holiday_ratio_weekday,0.0005563384170671704
노면상태,0.0008566046735537291
군_달성군,0.0011614580721643676
주차장개수,0.0016894137905711926
구,0.0021521962850391983
Cosine_Time,0.004721119776454419
시군구,0.004747092763525407
사고발생횟수,0.005080937670819607
도로형태,0.005396064534361633
사고유형,0.03403184506455168
