feature,mean_importance
Dist_Cluster_11,-0.00023787374850536835
Dist_Cluster_4,-0.0002211047603147609
Dist_Cluster_9,-0.00019697843022783434
Dist_Cluster_16,-0.00018397868848161192
Dist_Cluster_14,-0.00013743329039963558
기상상태,-0.00012941903908467723
보호구역,-0.00012813047917354937
Dist_Cluster_15,-0.00011327142947585856
season,-0.00010247083410703794
군_중구,-6.196987686151179e-05
차량전용,-3.248805438085256e-05
weekday,-2.3410879404894836e-05
군_수성구,0.0
군_남구,0.0
군_달서구,0.0
군_달성군,0.0
군_동구,0.0
군_북구,0.0
군_서구,0.0
어린이보호구역개수,4.4833005338973386e-05
요일,0.00015992170827332507
Dist_Cluster_12,0.00019499140703418404
평지도로,0.0002099341908794683
노면상태,0.00026887528034020837
설치개수,0.00029278810011161837
Dist_Cluster_18,0.0003723464647895858
Dist_Cluster_2,0.0003979904085139152
Cluster,0.00042753503102930244
불법주정차,0.0004654239964771989
Dist_Cluster_17,0.000529778900790645
Dist_Cluster_5,0.0006010718877739407
Dist_Cluster_8,0.0006256830725028806
Dist_Cluster_7,0.0007118053212173514
Dist_Cluster_6,0.0007346170441505651
구,0.0008543740734032745
Dist_Cluster_13,0.0009401299737850976
holiday,0.0010019667259820065
Dist_Cluster_3,0.001144976819241239
Dist_Cluster_1,0.0011792303790824966
Dist_Cluster_10,0.0013003197897047069
시군구,0.0014898041990909273
Dist_Cluster_0,0.0016838059142545436
주차장개수,0.002288395425538692
Cosine_Time,0.0026622004910502373
사고발생횟수,0.0031825568143620587
도로형태,0.009638795526808552
사고유형,0.033950568697837594
