feature,mean_importance
season_여름,-0.0011332046465920343
도로형태_기타 - 기타,-0.0010815930998933742
요일_수요일,-0.0008254258837351314
설치개수,-0.0004286509900298663
노면상태_기타,-0.00027649935612774625
요일_토요일,-0.00025615812007715453
도로형태_단일로 - 교량,-0.00020606749215310583
요일_일요일,-0.00020018774587675646
군_동구,-0.0001847585974526611
군_중구,-0.00016150234179994615
요일_화요일,-0.00011382516887674665
season_봄,-0.00010610247595645994
노면상태_적설,0.0
노면상태_서리/결빙,0.0
도로형태_미분류 - 미분류,0.0
기상상태_안개,0.0
기상상태_눈,0.0
노면상태_침수,0.0
기상상태_기타,0.0
군_수성구,0.0
요일_목요일,1.4339578179023426e-05
기상상태_흐림,4.549110208025286e-05
노면상태_건조,6.909049479337792e-05
도로형태_단일로 - 지하차도(도로)내,8.411714066256515e-05
군_북구,0.00014459979832868176
도로형태_교차로 - 교차로부근,0.0001588613683474849
군_달서구,0.0001672016052610914
어린이보호구역개수,0.00017215491662456728
요일_월요일,0.0001802243411189952
holiday,0.00018329704865032158
군_남구,0.00018629025288068312
사고발생횟수,0.00024276999384014174
평지도로,0.00029127458445203923
기상상태_비,0.00031631540609027286
season_가을,0.0004171514157867984
군_서구,0.0004228813745071891
불법주정차,0.00048688502031264403
도로형태_단일로 - 고가도로위,0.0005024780817192376
구,0.0005487119638808213
보호구역,0.0005943396734186867
기상상태_맑음,0.0006530478765471859
도로형태_단일로 - 기타,0.0008232483223095333
season_겨울,0.0010858613189568046
weekday,0.0011406719692616863
노면상태_젖음/습기,0.001193993743731281
요일_금요일,0.0012897771180364836
도로형태_주차장 - 주차장,0.0015609869767330142
주차장개수,0.0015922133372789694
차량전용,0.0018154083713294966
도로형태_교차로 - 교차로횡단보도내,0.0020232792668248845
사고유형_차량단독,0.0022428822330648355
도로형태_교차로 - 교차로안,0.002247486371258334
도로형태_단일로 - 터널,0.0022830878571832303
군_달성군,0.0023365407872339983
사고유형_차대사람,0.003262245120633711
시군구,0.005008257853239484
Cosine_Time,0.013649750237893766
사고유형_차대차,0.01871780960988967
