feature,mean_importance
기상상태_비,-0.0016505277605428415
노면상태_젖음/습기,-0.0009836457156418676
보호구역,-0.0009554149684946278
기상상태_맑음,-0.0007204116062257792
weekday_diff_holiday,-0.0006917428345939225
도로형태_단일로 - 기타,-0.0006589331418827227
weekday,-0.0005287043666517332
Cosine_Time,-0.0005061466084084421
사고유형_차량단독,-0.000471818706824334
요일_토요일,-0.00045289619257964374
도로형태_단일로 - 교량,-0.0004461977302979259
요일_화요일,-0.00043886886769179957
노면상태_건조,-0.0003160736199852465
어린이보호구역개수,-0.00030929396411376596
사고유형_차대사람,-0.00022211515583698828
season_가을,-0.00017009280810407202
holiday_ratio_weekday,-0.00013421104846338404
군_서구,-0.00011751303935563229
요일_목요일,-0.00010996357834327508
군_중구_diff_holiday,-9.793017242518687e-05
weekday_ratio_holiday,-8.891107170094781e-05
군_수성구,-3.219960966611701e-05
노면상태_서리/결빙,0.0
기상상태_기타,0.0
기상상태_눈,0.0
요일_월요일,0.0
기상상태_안개,0.0
요일_일요일,0.0
노면상태_적설,0.0
도로형태_미분류 - 미분류,0.0
노면상태_침수,0.0
군_남구,0.0
기상상태_흐림,2.4513971670581115e-06
군_달서구,8.209001271741734e-06
군_동구,4.544100447394506e-05
도로형태_교차로 - 교차로부근,7.734267099110959e-05
군_중구,0.00013108159187054104
노면상태_기타,0.00017743414992237304
요일_금요일,0.00018084431475193786
도로형태_단일로 - 지하차도(도로)내,0.00020361175394796317
평지도로,0.00022840329115101366
요일_수요일,0.00026108192283527123
season_봄,0.00029698749227455854
차량전용,0.000304509386722529
도로형태_단일로 - 고가도로위,0.0003682542249597631
군_북구,0.00048137323646586517
군_달성군_diff_holiday,0.0005762796871592757
holiday_multiply_weekday,0.0007108569682403365
도로형태_교차로 - 교차로횡단보도내,0.0007152304957707134
season_겨울,0.0007239562938767818
weekday_sum_군_동구,0.0007322472130926405
주차장개수,0.0007409322433110654
구,0.0008219668529858115
season_여름,0.0010182827171142383
도로형태_주차장 - 주차장,0.0012671915669194122
불법주정차_diff_weekday,0.001328626963490831
군_달성군,0.0015043438793844953
도로형태_기타 - 기타,0.001692494257058841
설치개수,0.001770883092821207
불법주정차,0.0017744699524953056
weekday_sum_군_수성구,0.001933934585583308
holiday,0.0023935237052620907
군_남구_diff_weekday,0.0025771692462111862
도로형태_단일로 - 터널,0.003697072897889275
시군구,0.004581980523081719
도로형태_교차로 - 교차로안,0.0047702404997969515
사고발생횟수,0.009365161480958117
사고유형_차대차,0.03723476711958455
