feature,mean_importance
Dist_Cluster_8,-0.0020448441822386253
Dist_Cluster_4,-0.0019304191730205255
Dist_Cluster_5,-0.0016978070270295298
weekday,-0.0011781801923495428
요일_일요일,-0.001037139343191429
holiday,-0.0010062636125372393
도로형태_단일로 - 터널,-0.000857549281659642
Dist_Cluster_7,-0.0007983938207626994
도로형태_주차장 - 주차장,-0.0007282158034343622
Dist_Cluster_12,-0.0007085238301273611
주차장개수,-0.0005614278157747066
Dist_Cluster_9,-0.0005331857673579688
Dist_Cluster_6,-0.00047152697281969134
도로형태_단일로 - 기타,-0.0004376518362421811
Dist_Cluster_18,-0.00040563906982675756
season_가을,-0.0002706820057019499
season_여름,-0.00017990120069928396
어린이보호구역개수,-0.0001229645247630362
도로형태_단일로 - 교량,-7.923333381207876e-05
Cluster,-5.856148330871669e-05
군_달성군,-4.50631878203378e-05
도로형태_교차로 - 교차로부근,-2.1998605982198606e-05
도로형태_단일로 - 지하차도(도로)내,0.0
기상상태_흐림,0.0
기상상태_안개,0.0
요일_금요일,0.0
요일_월요일,0.0
요일_화요일,0.0
기상상태_눈,0.0
도로형태_미분류 - 미분류,0.0
노면상태_침수,0.0
기상상태_기타,0.0
군_달서구,0.0
군_동구,0.0
군_북구,0.0
군_남구,0.0
군_중구,0.0
노면상태_서리/결빙,0.0
노면상태_기타,0.0
노면상태_적설,0.0
차량전용,1.4680195584326761e-05
군_수성구,1.5300384532634937e-05
요일_목요일,1.7018198066942603e-05
season_겨울,2.748317568415093e-05
불법주정차,5.417091537451846e-05
season_봄,6.780464885149939e-05
기상상태_맑음,7.889478122367067e-05
Dist_Cluster_3,0.00010708027505623718
평지도로,0.00012651854713190412
기상상태_비,0.00013100949686934983
Dist_Cluster_17,0.00013774453110178
Dist_Cluster_0,0.00026070552432859716
노면상태_건조,0.00026960378913010175
설치개수,0.0002727645484074337
군_서구,0.0003064728016221041
Dist_Cluster_13,0.0003408108609894489
노면상태_젖음/습기,0.0003464912302430179
Dist_Cluster_2,0.00040768360591476594
Dist_Cluster_10,0.00043054536871001137
보호구역,0.0004378547286357337
요일_토요일,0.00046434679722722193
요일_수요일,0.000495206722910746
사고유형_차량단독,0.000499987373740085
Dist_Cluster_15,0.000579026301166774
Dist_Cluster_1,0.000592571472039749
도로형태_단일로 - 고가도로위,0.0007116052735893774
시군구,0.0008502209437636354
구,0.0008554615022892786
도로형태_교차로 - 교차로안,0.000945102571504286
Dist_Cluster_14,0.0012009138565461485
Dist_Cluster_11,0.001238407102871064
사고유형_차대사람,0.001586939353146688
사고발생횟수,0.001607540368801752
도로형태_교차로 - 교차로횡단보도내,0.002617334972327212
Cosine_Time,0.0033428892289897984
Dist_Cluster_16,0.0034789322382958953
도로형태_기타 - 기타,0.004019592445116182
사고유형_차대차,0.012682531854251966
