feature,mean_importance
차량전용,-0.0016680838495820582
시군구,-0.0016150573426918946
평지도로,-0.0014725340779073504
season_가을,-0.0013842319911240963
군_중구,-0.0009844344677021777
요일_일요일,-0.0006646077606095258
요일_월요일,-0.00040494650213493963
노면상태_건조,-0.0003119654622381285
노면상태_기타,-0.00021558021348786483
설치개수,-0.0001835887928223201
weekday,-8.280964491271802e-05
도로형태_교차로 - 교차로횡단보도내,-6.629886082996084e-05
군_북구,-4.93146645260234e-05
도로형태_단일로 - 지하차도(도로)내,-4.337942247794047e-05
노면상태_서리/결빙,0.0
기상상태_흐림,0.0
기상상태_안개,0.0
노면상태_침수,0.0
기상상태_기타,0.0
노면상태_적설,0.0
도로형태_미분류 - 미분류,0.0
기상상태_눈,0.0
군_수성구,4.622506627336431e-05
요일_목요일,8.404813552951307e-05
보호구역,8.622514355212107e-05
군_남구,9.10039960392961e-05
군_동구,9.386837272742365e-05
도로형태_단일로 - 교량,0.00012856239737364384
season_봄,0.0001719069996576339
도로형태_주차장 - 주차장,0.0002390241055711284
군_달서구,0.0002394661970886558
도로형태_교차로 - 교차로부근,0.00024664548728994264
사고유형_차량단독,0.00026945878934592216
season_겨울,0.000282462161645447
불법주정차,0.0003149028284102018
기상상태_맑음,0.00035230925392903956
노면상태_젖음/습기,0.0003541334420968267
기상상태_비,0.0003656502699591169
요일_금요일,0.0003782623576255251
어린이보호구역개수,0.0004532483879241322
요일_토요일,0.0004926814009298397
요일_화요일,0.000538780713629472
요일_수요일,0.0006036869776393728
holiday,0.0006550371985537317
random_feature,0.0006606407753201538
도로형태_단일로 - 기타,0.0007337399301801106
사고유형_차대사람,0.000882705489497515
군_서구,0.0009541448116236806
season_여름,0.0012295958738770985
구,0.0013469478114833677
군_달성군,0.00164574552462593
사고발생횟수,0.0021840367608807697
도로형태_단일로 - 터널,0.0022079860531677652
도로형태_기타 - 기타,0.0022871768117585845
도로형태_교차로 - 교차로안,0.00230175917087716
도로형태_단일로 - 고가도로위,0.0033407110389733095
주차장개수,0.005780817735618249
Cosine_Time,0.008485709221195159
사고유형_차대차,0.00929364780007611
