feature,mean_importance
23_CatBoost_prediction,-0.0010024952255548447
44_Xgboost_GoldenFeatures_prediction,-0.0006491024626056774
14_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.0006352960893859283
55_RandomForest_prediction,-0.0005680655496054232
57_RandomForest_prediction,-0.00043791029174546916
주차장개수,-0.0004040519158547085
군_남구_diff_weekday,-0.00033588800298012256
Cosine_Time,-0.00033505963656155213
25_CatBoost_prediction,-0.00033187375610572724
67_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.00025972303939940654
weekday,-0.00023124088358985606
50_CatBoost_prediction,-0.0002183717234196525
22_LightGBM_prediction,-0.00021548105276201213
73_CatBoost_prediction,-0.00019921323598337537
season,-0.00014783590764200216
75_RandomForest_prediction,-0.00014257147104759226
도로형태,-0.0001425435440847389
설치개수,-9.826314856344886e-05
14_LightGBM_GoldenFeatures_prediction,-9.255808920540786e-05
사고발생횟수,-9.026268554555018e-05
49_LightGBM_prediction,-7.42043136749082e-05
60_Xgboost_prediction,-7.247487211687886e-05
weekday_sum_군_동구,-6.293232092773327e-05
불법주정차_diff_weekday,-5.0929123339771285e-05
차량전용,-4.9006794423722686e-05
시군구,-1.9917979179573388e-05
보호구역,-4.599272950334132e-06
weekday_sum_군_수성구,-8.264564134830011e-07
holiday_multiply_weekday,0.0
holiday_ratio_weekday,0.0
weekday_ratio_holiday,0.0
요일,0.0
군_달성군_diff_holiday,0.0
군_남구,0.0
군_달서구,0.0
군_달성군,0.0
기상상태,0.0
군_동구,0.0
군_북구,0.0
군_서구,0.0
노면상태,0.0
holiday,0.0
군_수성구,0.0
군_중구,0.0
어린이보호구역개수,1.1138698620216659e-05
사고유형,2.9544016310145692e-05
불법주정차,6.050467479445931e-05
평지도로,8.419416604474872e-05
군_중구_diff_holiday,9.806774020280074e-05
구,0.00012918993205006667
10_Xgboost_categorical_mix_prediction,0.0001445990331595759
weekday_diff_holiday,0.0001831568199911482
35_RandomForest_prediction,0.0002789182643698762
14_LightGBM_prediction,0.0003045563079525193
58_RandomForest_prediction,0.0007062786290986445
37_RandomForest_prediction,0.0007211368887289904
48_LightGBM_GoldenFeatures_prediction,0.0007862071326725228
31_CatBoost_prediction,0.0008076012922414888
72_CatBoost_prediction,0.0008918117516337754
10_Xgboost_categorical_mix_GoldenFeatures_prediction,0.0009409269954717469
56_RandomForest_prediction,0.0011045529060989656
64_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0013794925596745556
36_RandomForest_prediction,0.00143258730304896
65_Xgboost_prediction,0.0014509138078607543
59_RandomForest_prediction,0.0019210810918405263
70_CatBoost_prediction,0.002262214987372291
74_CatBoost_prediction,0.0026895440424479
40_RandomForest_prediction,0.003134571655421503
61_Xgboost_prediction,0.0032459910618631628
68_LightGBM_GoldenFeatures_prediction,0.0035335911129705357
47_Xgboost_GoldenFeatures_prediction,0.0036669841902960743
41_Xgboost_prediction,0.003964776854396779
46_Xgboost_GoldenFeatures_prediction,0.004038319898843912
51_CatBoost_prediction,0.004526609864797182
52_CatBoost_prediction,0.004716149244118206
66_Xgboost_prediction,0.00502057232723434
Ensemble_prediction,0.006396539408524515
45_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.007286591928155351
