feature,mean_importance
Dist_Cluster_13,-0.00041815445232984416
Dist_Cluster_16,-0.0003867065915166279
Dist_Cluster_3,-0.00034780866962984546
불법주정차,-0.000221542155651111
Dist_Cluster_5,-0.00017619566446349654
차량전용,-0.0001599306910673004
Dist_Cluster_1,-0.00010969287124107385
시군구,-8.766154059409725e-05
설치개수,-6.900953961430645e-05
Dist_Cluster_14,-5.800314350843383e-05
Dist_Cluster_7,-4.710385527735283e-05
Dist_Cluster_10,-1.1019345808560566e-05
Dist_Cluster_15,-3.021366504163403e-06
군_서구,0.0
군_중구,0.0
군_수성구,0.0
군_북구,0.0
군_달서구,0.0
군_남구,0.0
군_동구,0.0
어린이보호구역개수,2.093334635657751e-05
Cluster,2.5314137072651734e-05
Dist_Cluster_12,4.0703930437180345e-05
군_달성군,4.979613737965405e-05
Dist_Cluster_17,6.145356900979503e-05
Dist_Cluster_2,7.045435863513027e-05
보호구역,8.708399985959402e-05
Dist_Cluster_0,0.00010350197923556515
기상상태,0.00014765811056458578
Dist_Cluster_8,0.00015469574571838062
평지도로,0.00019113596750301997
weekday,0.00021233316528910252
Dist_Cluster_6,0.00022842846151363005
season,0.00023431119111991806
요일,0.00024745223828142037
노면상태,0.0002715684321278777
Dist_Cluster_11,0.00028945878818700257
주차장개수,0.0003056152152475011
Dist_Cluster_9,0.0003478606700503928
구,0.00043824323076018245
Dist_Cluster_18,0.000659219677500067
Dist_Cluster_4,0.0011837024558163378
holiday,0.0012409968101646963
사고발생횟수,0.0020425766144548164
Cosine_Time,0.0034277451126148105
도로형태,0.004150118969438177
사고유형,0.03734644320210086
