feature,mean_importance
57_RandomForest_prediction,-0.0014083141839540847
65_Xgboost_prediction,-0.0013101815522085446
14_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.0012824156127513309
59_RandomForest_prediction,-0.0007336038263236367
season,-0.0004196233406991379
차량전용,-0.00035827650574249414
22_LightGBM_prediction,-0.00031764634520090593
10_Xgboost_categorical_mix_GoldenFeatures_prediction,-0.0002783926369847922
요일,-0.000270783718735812
기상상태,-0.00017630438910898327
weekday,-0.00016928257795585379
사고발생횟수,-0.00014158522417571096
군_동구,-0.00012946150188311023
도로형태,-0.00012907388834264565
55_RandomForest_prediction,-4.8085035989209325e-05
Cosine_Time,-1.3005621344786e-05
73_CatBoost_prediction,-1.0201222055505888e-05
58_RandomForest_prediction,-9.663809633120301e-06
군_달성군,-4.0030397566725995e-06
군_남구,0.0
노면상태,0.0
군_서구,0.0
군_수성구,0.0
군_중구,0.0
군_달서구,2.0710627065101404e-06
36_RandomForest_prediction,5.667590676194934e-06
49_LightGBM_prediction,1.524278734617024e-05
holiday,2.0713317764875505e-05
어린이보호구역개수,3.86234132147667e-05
주차장개수,6.267074512049664e-05
평지도로,7.834928059609058e-05
군_북구,9.809606566031359e-05
35_RandomForest_prediction,9.867834372010443e-05
불법주정차,0.00013388291138580755
60_Xgboost_prediction,0.00022830545109364664
사고유형,0.0002374302825244312
시군구,0.0002871795661270049
14_LightGBM_prediction,0.00033786240413722355
구,0.0005260272735953198
보호구역,0.000618670253724507
67_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.000664033759325755
50_CatBoost_prediction,0.0006707529683514402
23_CatBoost_prediction,0.0006822462053409639
14_LightGBM_GoldenFeatures_prediction,0.0008207329842410127
설치개수,0.0008291317611238691
37_RandomForest_prediction,0.001001930714939947
44_Xgboost_GoldenFeatures_prediction,0.0010961562210984655
25_CatBoost_prediction,0.0011376913411125455
48_LightGBM_GoldenFeatures_prediction,0.0014015209945249518
31_CatBoost_prediction,0.0015505787592738018
10_Xgboost_categorical_mix_prediction,0.0017019682144942872
66_Xgboost_prediction,0.0017062887968061658
75_RandomForest_prediction,0.001975210714933939
46_Xgboost_GoldenFeatures_prediction,0.0019868490225547486
56_RandomForest_prediction,0.0023434046487363913
Ensemble_prediction,0.002382371975595832
74_CatBoost_prediction,0.0024325370781689724
72_CatBoost_prediction,0.002457307801170416
64_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.003272648209009854
70_CatBoost_prediction,0.003905699177301525
51_CatBoost_prediction,0.0041641368120796775
47_Xgboost_GoldenFeatures_prediction,0.0041789170900837554
40_RandomForest_prediction,0.004863130136570493
52_CatBoost_prediction,0.004937200473773573
45_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.005586555923575665
41_Xgboost_prediction,0.006548156350418455
68_LightGBM_GoldenFeatures_prediction,0.007783631171860006
61_Xgboost_prediction,0.009603367820730391
