feature,mean_importance
35_RandomForest_prediction,-0.0011051429272185055
14_LightGBM_GoldenFeatures_prediction,-0.0006122649690385007
어린이보호구역개수,-0.000501658614331535
차량전용,-0.0004667225955090171
노면상태,-0.0004597854255051326
25_CatBoost_prediction,-0.00037521992671012415
사고발생횟수,-0.00030765981499532026
40_RandomForest_prediction,-0.0002994618225088619
기상상태,-0.00028761745259875404
주차장개수,-0.00018988194943536651
48_LightGBM_GoldenFeatures_prediction,-0.00017295548876656853
군_중구,-0.0001452068687226804
군_달성군,-0.00013550029062032732
불법주정차,-9.765016026399564e-05
보호구역,-8.442709491995881e-05
설치개수,-7.960366269323948e-05
56_RandomForest_prediction,-3.728101261326611e-05
군_수성구,0.0
45_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0
군_북구,0.0
군_동구,0.0
군_달서구,0.0
시군구,0.0
평지도로,0.0
군_서구,0.0
도로형태,1.271253701358166e-05
65_Xgboost_prediction,1.5229209240130714e-05
구,2.1219603648625628e-05
요일,7.554082112262161e-05
season,0.00010532943776060399
70_CatBoost_prediction,0.00015843492488263334
군_남구,0.0002687769796811956
74_CatBoost_prediction,0.00032110989426625824
holiday,0.00032926986602088704
Cosine_Time,0.00036505341162227365
weekday,0.000365574238724653
36_RandomForest_prediction,0.0005124653186221906
37_RandomForest_prediction,0.0006820561329333064
57_RandomForest_prediction,0.0008559580445771208
72_CatBoost_prediction,0.0008563620837361841
49_LightGBM_prediction,0.0009178550037342914
사고유형,0.0009410297464160333
14_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0010337797359186052
22_LightGBM_prediction,0.001037097338798021
10_Xgboost_categorical_mix_prediction,0.0010396088387964798
50_CatBoost_prediction,0.0010991467350732309
66_Xgboost_prediction,0.0011043847391067896
52_CatBoost_prediction,0.0012020133385172605
10_Xgboost_categorical_mix_GoldenFeatures_prediction,0.0012560932567967197
58_RandomForest_prediction,0.0013739468617642858
55_RandomForest_prediction,0.0014894767905075713
47_Xgboost_GoldenFeatures_prediction,0.0014934450284092016
59_RandomForest_prediction,0.001585637627502101
31_CatBoost_prediction,0.001648081336837115
23_CatBoost_prediction,0.0016952799794456741
Ensemble_prediction,0.0017665816665468404
44_Xgboost_GoldenFeatures_prediction,0.0017703825215750202
14_LightGBM_prediction,0.0017706396423783576
68_LightGBM_GoldenFeatures_prediction,0.002093375611962478
46_Xgboost_GoldenFeatures_prediction,0.0021668760540476616
75_RandomForest_prediction,0.0021764265564805153
41_Xgboost_prediction,0.002277922346265715
64_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0025797007328666856
61_Xgboost_prediction,0.00272474729286063
67_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.003348839357308986
60_Xgboost_prediction,0.004200440372827963
73_CatBoost_prediction,0.005172084673340338
51_CatBoost_prediction,0.005323679041383045
