feature,mean_importance
시군구,-0.015280577043649402
구,-0.008658642296847008
설치개수,-0.007572947618455794
평지도로,-0.005778205724786822
사고발생횟수,-0.005189411587958226
보호구역,-0.005133037806367202
어린이보호구역개수,-0.0042407606449460285
holiday,-0.002497719544504129
weekday,-0.0019371195582397415
주차장개수,-0.0016009005415903222
요일,-0.0011429278636333694
군_달성군,-0.000822482990225648
차량전용,-0.0007069973271012664
군_북구,-0.0005395759255131249
불법주정차,-0.00043519303365369133
군_남구,-0.0003429628273473817
군_중구,-0.0003011120777028253
군_달서구,-0.0002179977656983745
군_수성구,-0.00018382935040248683
기상상태,-0.00015954802453093108
노면상태,5.3059035882441205e-05
season,5.4274329773873474e-05
군_서구,0.00029125042416033864
군_동구,0.001366371128296251
도로형태,0.00816192601950112
Cosine_Time,0.014320771564083979
사고유형,0.016235599989761873
