feature,mean_importance
기상상태,-0.0005825305632843891
노면상태,-0.0003237404708480884
군_달성군,-0.0003206023441725714
군_동구,-0.00018991680005122635
season,-0.0001780834980157131
군_수성구,-0.00016129000964915097
군_달서구,-9.546521711021328e-05
보호구역,7.039233787864419e-07
어린이보호구역개수,2.137069859320384e-06
군_북구,3.508564297518557e-05
차량전용,6.538215263853785e-05
군_남구,0.0001376996912698214
평지도로,0.00037948170578854245
군_서구,0.00040423547727233
불법주정차,0.00047808944454041935
시군구,0.0004950888555791622
설치개수,0.0007110258119773727
주차장개수,0.0007301617177722708
군_중구,0.0007487993508488832
weekday,0.001347326544091354
요일,0.0015205584102507164
구,0.0015363410995262062
holiday,0.002411021217627174
사고발생횟수,0.0030927117057912624
도로형태,0.006770881694828401
Cosine_Time,0.008791379990044357
사고유형,0.036030710225093784
