feature,mean_importance
사고유형_차대사람,-0.0008973507263605685
노면상태_젖음/습기,-0.000540015083114076
차량전용,-0.00048483023081571377
season_봄,-0.00038064327612581385
도로형태_교차로 - 교차로안,-0.0003666313593804427
season_여름,-0.0002948502122471552
요일_목요일,-0.0002621554395796144
season_겨울,-0.00019721703100201716
군_서구,-0.000186605861708089
요일_금요일,-0.00018139578240823352
군_북구,-0.00013257269617414913
노면상태_건조,-0.000129263412502989
도로형태_단일로 - 교량,-0.00011967789217606217
군_동구,-0.00011537693960477214
season_가을,-0.00011222499463112712
요일_일요일,-0.00010336219531139612
요일_월요일,-8.358315917393888e-05
기상상태_비,-6.255969573076836e-05
도로형태_단일로 - 지하차도(도로)내,-3.1220210156424065e-05
군_남구,-2.0779588398012194e-05
요일_수요일,-6.870943488923587e-06
노면상태_기타,0.0
기상상태_눈,0.0
도로형태_미분류 - 미분류,0.0
노면상태_침수,0.0
기상상태_흐림,0.0
기상상태_안개,0.0
노면상태_서리/결빙,0.0
노면상태_적설,0.0
기상상태_기타,0.0
군_수성구,0.0
불법주정차,2.2753574630884898e-06
요일_화요일,3.570784913169423e-05
어린이보호구역개수,3.8653315151604416e-05
군_달서구,5.4705951009137446e-05
요일_토요일,8.056320328306832e-05
도로형태_단일로 - 기타,8.935855531628789e-05
도로형태_단일로 - 고가도로위,0.00017532550618228892
도로형태_단일로 - 터널,0.00023515317636850773
구,0.000313710292515057
도로형태_교차로 - 교차로부근,0.000649509294143824
군_중구,0.0006931212891289728
보호구역,0.0008168382037268218
기상상태_맑음,0.0008421475660008281
평지도로,0.0009973556360788783
holiday,0.0010325296412244222
도로형태_주차장 - 주차장,0.001110942757411748
군_달성군,0.0011943752899102212
설치개수,0.0014028900104015695
도로형태_교차로 - 교차로횡단보도내,0.0017068586316298928
시군구,0.0021865519391910614
weekday,0.002235438046589411
도로형태_기타 - 기타,0.002522944638107272
사고발생횟수,0.0029322548512077606
주차장개수,0.003458557462502099
Cosine_Time,0.004305198212645678
사고유형_차량단독,0.004459308465494116
사고유형_차대차,0.010206227449767092
