feature,mean_importance
23_CatBoost_prediction,-0.0009952466874428635
52_CatBoost_prediction,-0.0008566190783203087
75_RandomForest_prediction,-0.0007487952544944721
57_RandomForest_prediction,-0.0006930215042086685
35_RandomForest_prediction,-0.0005275957591817981
59_RandomForest_prediction,-0.0003746237540572572
불법주정차_diff_weekday,-0.00024411155785757365
어린이보호구역개수,-0.0002000896232686511
설치개수,-8.560728039626042e-05
37_RandomForest_prediction,-4.69772826798609e-05
holiday_ratio_weekday,-1.484542913572362e-05
65_Xgboost_prediction,0.0
군_남구_diff_weekday,0.0
14_LightGBM_GoldenFeatures_prediction,0.0
44_Xgboost_GoldenFeatures_prediction,0.0
군_중구_diff_holiday,0.0
weekday_diff_holiday,0.0
weekday_sum_군_동구,0.0
weekday_sum_군_수성구,0.0
holiday_multiply_weekday,0.0
weekday_ratio_holiday,0.0
Cosine_Time,0.0
holiday,0.0
군_달성군_diff_holiday,0.0
사고발생횟수,0.0
군_동구,0.0
군_북구,0.0
군_남구,0.0
평지도로,0.0
불법주정차,0.0
사고유형,0.0
군_서구,0.0
노면상태,0.0
군_중구,0.0
군_수성구,0.0
기상상태,0.0
군_달성군,0.0
도로형태,0.0
31_CatBoost_prediction,4.2502644055586455e-06
67_LightGBM_GoldenFeatures_SelectedFeatures_prediction,9.978861528026072e-06
시군구,3.6742244750009866e-05
14_LightGBM_prediction,5.2011279162500476e-05
weekday,5.281485863624091e-05
73_CatBoost_prediction,8.165297283182493e-05
차량전용,0.00010755025329691747
군_달서구,0.00012787600120689468
50_CatBoost_prediction,0.0001594731094774593
주차장개수,0.00016348639964138822
72_CatBoost_prediction,0.00017727253931336672
25_CatBoost_prediction,0.00018340682977766588
보호구역,0.0002484815652602279
구,0.00029310478314676925
22_LightGBM_prediction,0.0003718081447242394
season,0.0003898946261957414
요일,0.0004165459060963883
14_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0004383464785755908
58_RandomForest_prediction,0.0004781987563942325
47_Xgboost_GoldenFeatures_prediction,0.000558479942315171
70_CatBoost_prediction,0.0005816215220811217
56_RandomForest_prediction,0.0006078764888389099
10_Xgboost_categorical_mix_prediction,0.0008631534192905077
36_RandomForest_prediction,0.0009765520412524653
55_RandomForest_prediction,0.0009862798052292065
49_LightGBM_prediction,0.0011944101643305504
64_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0013563666833118714
48_LightGBM_GoldenFeatures_prediction,0.001463955148565943
10_Xgboost_categorical_mix_GoldenFeatures_prediction,0.0015194613258704636
60_Xgboost_prediction,0.0015210816283719232
45_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0016925001063640588
66_Xgboost_prediction,0.002315587342454539
40_RandomForest_prediction,0.00243311882217061
68_LightGBM_GoldenFeatures_prediction,0.0024870252229713063
74_CatBoost_prediction,0.0028039833760098664
Ensemble_prediction,0.0036549964913445976
61_Xgboost_prediction,0.003935467694922101
41_Xgboost_prediction,0.003975788028681815
51_CatBoost_prediction,0.005994718637111029
46_Xgboost_GoldenFeatures_prediction,0.007264900986091849
