feature,mean_importance
군_달성군,-0.00018432876185674462
군_남구,-1.7812342918799295e-05
군_서구,-1.6355221534603005e-05
구,-2.152610792238718e-06
군_중구,0.0
군_수성구,0.0
군_북구,0.0
군_동구,0.0
군_달서구,0.0
평지도로,1.8396965318911995e-06
설치개수,1.8882340209902537e-05
기상상태,2.5208688668199032e-05
어린이보호구역개수,2.8446532279646776e-05
요일,6.005246623383975e-05
노면상태,6.153915135096444e-05
보호구역,8.202352965847037e-05
season,8.726357277817342e-05
불법주정차,9.671896330512019e-05
weekday,0.0001454758526597155
차량전용,0.00028447849103732106
시군구,0.0003347210660698652
주차장개수,0.0006815440393861394
사고발생횟수,0.0007089353305453905
Cosine_Time,0.001472510212270417
holiday,0.003420788115243134
도로형태,0.0055302944196689244
사고유형,0.04207088235037124
