feature,shap_importance
사고유형,0.0993335526444377
도로형태,0.028790967465831676
holiday,0.025486180048327017
Cosine_Time,0.020669145397426272
사고발생횟수,0.017182191409798757
주차장개수,0.01460498904312999
weekday,0.01428841742876143
시군구,0.004480533048714671
구,0.002980273051369449
군_달성군,0.001980616489004309
요일,0.001980404165653659
불법주정차,0.0017959434187096877
설치개수,0.0017890804947689111
군_북구,0.0015168046686643828
보호구역,0.0014881000197229813
평지도로,0.0013678326903422975
기상상태,0.0012808229722416644
노면상태,0.0011101707313360125
season,0.0010643864779972163
차량전용,0.001007821370908277
어린이보호구역개수,0.0005810034253716285
군_중구,0.0004398207864494136
군_서구,0.0003122194780027465
군_달서구,0.000289366492328849
군_동구,0.0002394066449433836
군_남구,0.00014268436028263014
군_수성구,0.00010862733267594002
