feature,mean_importance
64_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.004926642939470471
25_CatBoost_prediction,-0.0038847808121712734
14_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.0027994580151570413
50_CatBoost_prediction,-0.0027372125152845374
70_CatBoost_prediction,-0.00252482667864784
58_RandomForest_prediction,-0.0018194426227214455
31_CatBoost_prediction,-0.001583775390571196
44_Xgboost_GoldenFeatures_prediction,-0.0012904785413012654
51_CatBoost_prediction,-0.0012566418555438829
67_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.0011199367773254698
37_RandomForest_prediction,-0.0007796991748176163
35_RandomForest_prediction,-0.0007507990157442857
55_RandomForest_prediction,-0.0005941301402140331
61_Xgboost_prediction,-0.000584008848956885
Cosine_Time,-0.0004798519187117378
시군구,-0.000475864812330995
57_RandomForest_prediction,-0.00046989325628845615
48_LightGBM_GoldenFeatures_prediction,-0.00037794373650401614
41_Xgboost_prediction,-0.00031927759932464105
군_달성군_diff_holiday,-0.0003037444705692227
도로형태,-0.00017349379761884
요일,-8.513342270319857e-05
군_남구_diff_weekday,-6.147552064532658e-05
65_Xgboost_prediction,-6.140769728055773e-05
weekday_sum_군_수성구,-3.267285167587453e-05
기상상태,-1.3676095468984073e-05
weekday_ratio_holiday,0.0
holiday_multiply_weekday,0.0
군_중구_diff_holiday,0.0
노면상태,0.0
season,1.4775805899880368e-05
사고유형,1.7956421124076805e-05
holiday_ratio_weekday,3.1083192555070305e-05
14_LightGBM_prediction,8.527525736528041e-05
weekday_diff_holiday,0.0001352394843273874
72_CatBoost_prediction,0.00015076277291112828
40_RandomForest_prediction,0.00016039562653917815
weekday_sum_군_동구,0.00028228291836609467
불법주정차_diff_weekday,0.00028932183936880573
66_Xgboost_prediction,0.00030886719621128214
73_CatBoost_prediction,0.0003300991691844946
59_RandomForest_prediction,0.00035583744899050365
56_RandomForest_prediction,0.000371263948682099
52_CatBoost_prediction,0.000615465703488871
49_LightGBM_prediction,0.0006271513799160022
사고발생횟수,0.0007694730037619779
10_Xgboost_categorical_mix_prediction,0.0009926544289226458
22_LightGBM_prediction,0.0013807545405997378
14_LightGBM_GoldenFeatures_prediction,0.0016050984279561754
74_CatBoost_prediction,0.0016531697903855668
Ensemble_prediction,0.0017028493663615585
10_Xgboost_categorical_mix_GoldenFeatures_prediction,0.001977598338702058
36_RandomForest_prediction,0.0022630729953204477
75_RandomForest_prediction,0.0023534329896109487
45_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0025288357065697876
68_LightGBM_GoldenFeatures_prediction,0.0026590260910823284
46_Xgboost_GoldenFeatures_prediction,0.0031221912020336974
60_Xgboost_prediction,0.004123173532179236
23_CatBoost_prediction,0.004344204264089546
47_Xgboost_GoldenFeatures_prediction,0.014425414133097702
