feature,mean_importance
설치개수,-0.0013561986469714294
season_봄,-0.0013125839581706656
season_여름,-0.0011548206323622966
보호구역,-0.0009227869472669736
차량전용,-0.0008319570206013038
도로형태_단일로 - 터널,-0.000647723721387461
군_중구,-0.0006427928707880337
season_가을,-0.000626279018928555
어린이보호구역개수,-0.0005789688461273812
기상상태_비,-0.00046359428762265953
노면상태_건조,-0.00028359548315239904
season_겨울,-0.0002761104245396995
요일_월요일,-0.000237733781712679
도로형태_단일로 - 고가도로위,-0.0002078397075359284
군_동구,-0.00020693824379207636
요일_일요일,-0.00019521647201123927
군_남구,-7.911634166477555e-05
요일_수요일,-7.881133502840587e-05
기상상태_기타,-7.245515079372656e-05
군_수성구,-3.364048342795467e-05
노면상태_침수,0.0
노면상태_적설,0.0
노면상태_서리/결빙,0.0
도로형태_미분류 - 미분류,0.0
기상상태_흐림,0.0
기상상태_눈,0.0
기상상태_안개,0.0
노면상태_기타,7.71604909708401e-06
시군구,1.5861159534624748e-05
평지도로,2.083275977728949e-05
도로형태_단일로 - 지하차도(도로)내,4.527843760129269e-05
군_달서구,5.37780936570309e-05
요일_화요일,0.00013854732660842917
도로형태_단일로 - 교량,0.0002064109445570228
요일_토요일,0.00023813578591076469
군_북구,0.00024895115699867797
기상상태_맑음,0.0002831401820518442
요일_목요일,0.0003362362973403421
도로형태_교차로 - 교차로부근,0.0004334633440981728
노면상태_젖음/습기,0.0004452326487385472
군_달성군,0.0005004614186177702
요일_금요일,0.0005690337932668044
군_서구,0.0006499037634385641
주차장개수,0.0009460728073487301
weekday,0.001385483749288774
도로형태_단일로 - 기타,0.0014779833385862417
도로형태_주차장 - 주차장,0.0018481783100995353
불법주정차,0.0021467376301659733
도로형태_교차로 - 교차로횡단보도내,0.002394591434314708
구,0.0033634538194539988
도로형태_기타 - 기타,0.0033795843569006
holiday,0.0034262429854047703
도로형태_교차로 - 교차로안,0.004203829606043619
사고유형_차량단독,0.004267403156715255
사고발생횟수,0.0049709204881599025
사고유형_차대사람,0.007470649542543795
Cosine_Time,0.00800484693911474
사고유형_차대차,0.02482950938343533
