feature,mean_importance
44_Xgboost_GoldenFeatures_prediction,-0.0015798271632414985
45_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.001567039968589068
56_RandomForest_prediction,-0.0014600819871326998
68_LightGBM_GoldenFeatures_prediction,-0.0008642398635610338
55_RandomForest_prediction,-0.0007826908518196119
시군구,-0.0006602335904344336
58_RandomForest_prediction,-0.0006274806852997195
사고발생횟수,-0.00035690774699346226
36_RandomForest_prediction,-0.00019081023090454784
설치개수,-0.00016303365691423545
평지도로,-0.00014687772901926798
22_LightGBM_prediction,-0.00011944299918491552
어린이보호구역개수,-0.00010899903656675924
도로형태,-4.3870325080974657e-05
주차장개수,-3.3090774599675576e-05
보호구역,-3.225672641107291e-05
기상상태,-2.3048306139417107e-05
차량전용,-2.2231186755083953e-05
season,-4.8687360808985504e-06
군_남구,-8.881784197001253e-17
군_동구,-4.4408920985006264e-17
holiday,-2.2204460492503132e-17
군_북구,-2.2204460492503132e-17
군_중구,-2.2204460492503132e-17
군_달성군,-2.2204460492503132e-17
군_수성구,0.0
군_서구,3.0808073190335963e-07
노면상태,1.0393348674586634e-06
Cosine_Time,1.0886723747871584e-05
불법주정차,1.2214962898737802e-05
40_RandomForest_prediction,3.284679670789714e-05
군_달서구,6.471018094185154e-05
구,8.710821309354522e-05
weekday,9.382709597134386e-05
요일,9.941865751603718e-05
14_LightGBM_prediction,0.00017612178441686054
64_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.00029031995491350936
73_CatBoost_prediction,0.0003212863464947535
50_CatBoost_prediction,0.0003834343379755634
사고유형,0.0003871976090383811
41_Xgboost_prediction,0.0004364147957069076
23_CatBoost_prediction,0.0004997563891409485
66_Xgboost_prediction,0.0005420885289652233
59_RandomForest_prediction,0.0007541811935038556
75_RandomForest_prediction,0.0007817113714830626
57_RandomForest_prediction,0.0007944947261462776
35_RandomForest_prediction,0.0008113628375191473
48_LightGBM_GoldenFeatures_prediction,0.0010270034630300406
70_CatBoost_prediction,0.0012948723912555638
61_Xgboost_prediction,0.001465392398965082
14_LightGBM_GoldenFeatures_prediction,0.0015602175532871021
72_CatBoost_prediction,0.0015678554026407276
25_CatBoost_prediction,0.001578514559218025
37_RandomForest_prediction,0.001632854998194566
49_LightGBM_prediction,0.001772322244514557
10_Xgboost_categorical_mix_prediction,0.0017781538275949637
14_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.001849813297264058
31_CatBoost_prediction,0.001875523712773952
10_Xgboost_categorical_mix_GoldenFeatures_prediction,0.0019495498870119032
65_Xgboost_prediction,0.0021584696884320077
67_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.002696865184179975
52_CatBoost_prediction,0.0032749678492949076
74_CatBoost_prediction,0.0034119949577333442
60_Xgboost_prediction,0.003649481488859774
46_Xgboost_GoldenFeatures_prediction,0.005172683297759617
47_Xgboost_GoldenFeatures_prediction,0.005775141722225064
51_CatBoost_prediction,0.019633004963441204
Ensemble_prediction,0.02175976726524631
