name,model_type,metric_type,metric_value,train_time
1_Default_LightGBM,LightGBM,rmse,0.4453315643765707,45.4
2_Default_Xgboost,Xgboost,rmse,0.4452588732860538,41.9
3_Default_CatBoost,CatBoost,rmse,0.4449725468429141,147.5
4_Default_RandomForest,Random Forest,rmse,0.44617668571333297,222.74
14_LightGBM,LightGBM,rmse,0.44477350847571656,42.06
5_Xgboost,Xgboost,rmse,0.44602070016526796,40.08
23_CatBoost,CatBoost,rmse,0.4448569217046438,268.39
32_RandomForest,Random Forest,rmse,0.4462394995905331,223.01
15_LightGBM,LightGBM,rmse,0.4457936447618515,35.45
6_Xgboost,Xgboost,rmse,0.4461840671395475,42.91
24_CatBoost,CatBoost,rmse,0.47531173741111427,363.84
33_RandomForest,Random Forest,rmse,0.44674917220462534,172.69
16_LightGBM,LightGBM,rmse,0.44518706348631015,36.31
7_Xgboost,Xgboost,rmse,0.4451326884357717,32.88
25_CatBoost,CatBoost,rmse,0.4448731805614503,169.45
34_RandomForest,Random Forest,rmse,0.4455946413441832,205.25
17_LightGBM,LightGBM,rmse,0.4455985985120568,37.91
8_Xgboost,Xgboost,rmse,0.445855710645944,37.26
26_CatBoost,CatBoost,rmse,0.47601454795354015,194.62
35_RandomForest,Random Forest,rmse,0.44542639994698047,202.13
18_LightGBM,LightGBM,rmse,0.44572969555511366,30.49
9_Xgboost,Xgboost,rmse,0.4448267550756027,34.3
27_CatBoost,CatBoost,rmse,0.47822108303951455,261.93
36_RandomForest,Random Forest,rmse,0.44526446560587934,266.21
19_LightGBM,LightGBM,rmse,0.44549838977696415,41.28
10_Xgboost,Xgboost,rmse,0.4447393447814687,31.25
28_CatBoost,CatBoost,rmse,0.5022762134774862,276.88
37_RandomForest,Random Forest,rmse,0.44547567911591773,287.54
20_LightGBM,LightGBM,rmse,0.44514916454973247,37.02
11_Xgboost,Xgboost,rmse,0.4456542718283053,39.25
29_CatBoost,CatBoost,rmse,0.4765883315249356,723.76
38_RandomForest,Random Forest,rmse,0.4460206344595477,141.33
21_LightGBM,LightGBM,rmse,0.4453414807565698,30.27
12_Xgboost,Xgboost,rmse,0.44512804176081044,31.72
30_CatBoost,CatBoost,rmse,0.476079442393219,353.37
39_RandomForest,Random Forest,rmse,0.4460120051945077,142.2
22_LightGBM,LightGBM,rmse,0.4448483493815751,37.68
13_Xgboost,Xgboost,rmse,0.44542286641506457,38.33
31_CatBoost,CatBoost,rmse,0.44492355192995947,332.2
40_RandomForest,Random Forest,rmse,0.4452423481071365,197.48
10_Xgboost_categorical_mix,Xgboost,rmse,0.44469696123629304,46.16
10_Xgboost_categorical_mix_GoldenFeatures,Xgboost,rmse,0.4447104902386031,45.37
10_Xgboost_GoldenFeatures,Xgboost,rmse,0.44471808734032886,41.95
14_LightGBM_GoldenFeatures,LightGBM,rmse,0.4447437668687021,48.65
10_Xgboost_categorical_mix_KMeansFeatures,Xgboost,rmse,0.44494828225575234,55.97
10_Xgboost_KMeansFeatures,Xgboost,rmse,0.44495533708926804,56.32
14_LightGBM_KMeansFeatures,LightGBM,rmse,0.44487626752532217,63.92
10_Xgboost_categorical_mix_RandomFeature,Xgboost,rmse,0.44477580515693743,41.42
10_Xgboost_categorical_mix_SelectedFeatures,Xgboost,rmse,0.44615099272873393,21.23
14_LightGBM_GoldenFeatures_SelectedFeatures,LightGBM,rmse,0.44471126666451455,33.67
23_CatBoost_SelectedFeatures,CatBoost,rmse,0.44553410238501484,161.58
40_RandomForest_SelectedFeatures,Random Forest,rmse,0.44558173136511625,121.77
41_Xgboost,Xgboost,rmse,0.44458531175955324,41.34
42_Xgboost,Xgboost,rmse,0.4447819894242065,39.95
43_Xgboost_GoldenFeatures,Xgboost,rmse,0.44483581236147984,44.95
44_Xgboost_GoldenFeatures,Xgboost,rmse,0.4447072033691927,44.82
45_LightGBM_GoldenFeatures_SelectedFeatures,LightGBM,rmse,0.44466177591318207,34.52
46_Xgboost_GoldenFeatures,Xgboost,rmse,0.44461126006852153,44.27
47_Xgboost_GoldenFeatures,Xgboost,rmse,0.44469893264447036,41.34
48_LightGBM_GoldenFeatures,LightGBM,rmse,0.44483878720475,49.11
49_LightGBM,LightGBM,rmse,0.44480747983146735,38.91
50_CatBoost,CatBoost,rmse,0.44482258029106314,408.35
51_CatBoost,CatBoost,rmse,0.4448745886532718,155.58
52_CatBoost,CatBoost,rmse,0.4448962599589628,232.96
53_CatBoost,CatBoost,rmse,0.4450207137155386,110.83
54_CatBoost,CatBoost,rmse,0.4450060080792036,205.86
